#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.097	0.781	1.280	0.712	0.650	1.000	0.000
1	0.224	1.138	1.150	0.244	0.763	1.000	0.000
2	0.246	1.412	1.033	0.799	0.926	1.000	0.953
3	1.000	1.358	1.171	0.477	0.634	0.000	0.724
4	0.393	1.234	1.390	0.274	0.637	1.000	0.776
5	0.393	0.598	1.018	0.098	0.958	1.000	0.781
6	1.000	1.030	1.203	0.217	0.561	0.000	0.607
7	1.000	1.274	1.055	0.890	0.556	0.000	0.944
8	0.393	1.372	1.205	0.681	0.936	1.000	0.000
9	0.393	1.069	1.197	0.543	0.809	1.000	0.824
#From	To	chi[to]	beta[fr]	lambda
2	0	1.000	1.000	1.000
3	4	1.000	0.211	1.000
3	8	1.000	0.277	1.000
3	9	1.000	0.512	1.000
4	1	0.134	0.496	1.000
4	5	0.537	0.504	1.000
5	1	0.135	0.956	1.000
5	5	0.463	0.044	1.000
6	1	0.165	0.074	1.000
6	2	0.464	0.926	1.000
7	1	0.357	1.000	1.000
9	1	0.209	0.980	1.000
9	2	0.536	0.020	1.000
