#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.438	1.303	0.403	0.924	0.000	0.898
1	1.000	0.839	1.465	0.192	0.678	0.000	0.643
2	0.627	1.496	1.440	0.342	0.614	1.000	0.557
3	0.154	0.905	1.343	0.916	0.921	1.000	0.869
4	1.000	0.860	1.320	0.171	0.785	0.000	0.729
5	1.000	1.227	1.183	0.268	0.563	0.000	0.888
6	0.195	0.757	1.040	0.580	0.744	1.000	0.705
7	0.103	1.248	1.276	0.647	0.812	1.000	0.936
8	1.000	1.153	1.305	0.591	0.639	0.000	0.646
9	1.000	0.770	1.026	0.655	0.689	0.000	0.828
10	0.068	1.342	1.191	0.186	0.900	1.000	0.876
11	0.168	1.091	1.203	0.591	0.597	1.000	0.791
12	0.225	1.270	1.088	0.228	0.638	1.000	0.697
13	0.196	0.921	1.365	0.829	0.923	1.000	0.639
14	0.393	1.336	1.417	0.111	0.747	1.000	0.815
15	0.097	1.157	1.387	0.537	0.705	1.000	0.819
16	0.157	0.698	1.048	0.352	0.836	1.000	0.643
17	0.393	0.872	1.064	0.262	0.748	1.000	0.843
18	0.155	1.126	1.071	0.969	0.542	1.000	0.879
19	0.143	1.228	1.076	0.116	0.797	1.000	0.996
20	0.186	0.906	1.385	0.429	0.781	1.000	0.551
21	0.149	0.670	1.216	0.371	0.810	1.000	0.574
22	0.393	1.065	1.005	0.836	0.541	1.000	0.855
23	0.154	1.133	1.386	0.995	0.770	1.000	0.630
24	0.393	1.382	1.250	0.784	0.783	1.000	0.766
25	1.000	0.728	1.345	0.986	0.639	0.000	0.512
26	0.105	0.747	1.500	0.356	0.504	1.000	0.000
27	0.158	1.363	1.417	0.006	0.635	1.000	0.954
28	0.157	1.230	1.183	0.381	0.675	1.000	0.610
29	1.000	1.490	1.470	0.222	0.899	0.000	0.528
#From	To	chi[to]	beta[fr]	lambda
0	6	0.041	0.244	1.000
0	12	0.169	0.361	1.000
0	16	0.071	0.075	1.000
0	19	0.006	0.047	1.000
0	28	0.148	0.273	1.000
1	2	0.779	0.184	1.000
1	6	0.021	0.160	1.000
1	16	0.100	0.164	1.000
1	19	0.019	0.185	1.000
1	27	0.214	0.157	1.000
1	28	0.129	0.150	1.000
2	2	0.221	0.387	1.000
2	6	0.053	0.031	1.000
2	16	0.078	0.028	1.000
2	19	0.083	0.190	1.000
2	28	0.059	0.363	1.000
3	15	0.524	0.088	1.000
3	16	0.093	0.026	1.000
3	19	0.103	0.185	1.000
3	20	0.156	0.255	1.000
3	27	0.053	0.171	1.000
3	28	0.027	0.274	1.000
4	14	1.000	0.163	1.000
4	17	1.000	0.149	1.000
4	22	1.000	0.146	1.000
4	24	1.000	0.443	1.000
4	27	0.191	0.098	1.000
5	16	0.042	0.181	1.000
5	19	0.069	0.239	1.000
5	20	0.204	0.286	1.000
5	27	0.187	0.045	1.000
5	28	0.067	0.249	1.000
6	7	0.226	0.930	1.000
6	26	0.056	0.070	1.000
7	7	0.092	0.428	1.000
7	26	0.017	0.572	1.000
8	26	0.037	1.000	1.000
9	6	0.234	0.172	1.000
9	12	0.193	0.187	1.000
9	13	0.176	0.332	1.000
9	16	0.097	0.115	1.000
9	19	0.008	0.144	1.000
9	28	0.149	0.051	1.000
10	26	0.033	1.000	1.000
11	10	0.266	0.491	1.000
11	11	0.278	0.066	1.000
11	19	0.092	0.102	1.000
11	21	0.223	0.238	1.000
11	26	0.079	0.103	1.000
12	7	0.089	0.361	1.000
12	21	0.033	0.350	1.000
12	26	0.042	0.289	1.000
13	10	0.286	0.050	1.000
13	11	0.393	0.674	1.000
13	19	0.033	0.181	1.000
13	21	0.205	0.077	1.000
13	26	0.074	0.018	1.000
14	13	0.345	0.126	1.000
14	18	0.389	0.311	1.000
14	19	0.044	0.373	1.000
14	26	0.040	0.189	1.000
15	6	0.249	0.183	1.000
15	16	0.071	0.414	1.000
15	19	0.015	0.263	1.000
15	28	0.122	0.140	1.000
16	6	0.057	0.133	1.000
16	12	0.220	0.215	1.000
16	13	0.193	0.030	1.000
16	18	0.150	0.232	1.000
16	19	0.061	0.064	1.000
16	26	0.017	0.325	1.000
17	3	1.000	0.144	1.000
17	15	0.476	0.177	1.000
17	16	0.102	0.110	1.000
17	19	0.094	0.073	1.000
17	20	0.163	0.208	1.000
17	23	1.000	0.126	1.000
17	27	0.136	0.109	1.000
17	28	0.028	0.052	1.000
18	7	0.266	0.577	1.000
18	26	0.056	0.423	1.000
19	7	0.063	0.871	1.000
19	26	0.077	0.129	1.000
20	16	0.133	0.025	1.000
20	19	0.052	0.238	1.000
20	20	0.285	0.243	1.000
20	27	0.048	0.113	1.000
20	28	0.133	0.380	1.000
21	7	0.055	0.178	1.000
21	21	0.143	0.585	1.000
21	26	0.069	0.237	1.000
22	6	0.079	0.060	1.000
22	12	0.218	0.127	1.000
22	16	0.119	0.292	1.000
22	19	0.019	0.230	1.000
22	28	0.119	0.291	1.000
23	16	0.094	0.233	1.000
23	19	0.104	0.311	1.000
23	20	0.192	0.219	1.000
23	27	0.171	0.211	1.000
23	28	0.020	0.026	1.000
24	7	0.057	0.239	1.000
24	26	0.057	0.761	1.000
25	19	0.100	0.318	1.000
25	21	0.129	0.351	1.000
25	26	0.036	0.331	1.000
26	26	0.080	1.000	1.000
27	7	0.152	0.284	1.000
27	26	0.078	0.716	1.000
28	10	0.448	0.199	1.000
28	11	0.328	0.265	1.000
28	19	0.091	0.209	1.000
28	21	0.267	0.171	1.000
28	26	0.081	0.155	1.000
29	6	0.267	0.093	1.000
29	12	0.199	0.257	1.000
29	13	0.286	0.239	1.000
29	18	0.461	0.093	1.000
29	19	0.006	0.169	1.000
29	26	0.071	0.149	1.000
