#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.034	0.712	1.435	0.105	0.992	1.000	0.533
1	0.026	0.850	1.275	0.213	0.865	1.000	0.743
2	0.105	0.570	1.223	0.592	0.886	1.000	0.799
3	0.024	1.152	1.454	0.837	0.830	1.000	0.668
4	0.138	0.724	1.032	0.714	0.908	1.000	0.846
5	0.049	0.944	1.222	0.834	0.983	1.000	0.895
6	1.000	0.513	1.110	0.414	0.922	0.000	0.603
7	0.035	1.428	1.009	0.981	0.838	1.000	0.612
8	0.102	0.898	1.083	0.355	0.852	1.000	0.658
9	1.000	0.618	1.486	0.503	0.915	0.000	0.838
10	0.035	0.757	1.314	0.182	0.627	1.000	0.788
11	0.181	1.025	1.203	0.296	0.710	1.000	0.594
12	0.080	1.465	1.333	0.552	0.708	1.000	0.976
13	0.042	1.371	1.130	0.311	0.657	1.000	0.570
14	0.071	0.847	1.407	0.669	0.605	1.000	0.941
15	0.195	0.944	1.014	0.512	0.736	1.000	0.963
16	0.102	0.883	1.352	0.366	0.797	1.000	0.981
17	0.038	1.281	1.209	0.696	0.910	1.000	0.851
18	0.157	1.274	1.129	0.187	0.571	1.000	0.611
19	0.128	0.840	1.076	0.423	0.792	1.000	0.757
20	0.102	0.554	1.402	0.901	0.887	1.000	0.865
21	0.246	0.747	1.300	0.058	0.641	1.000	0.899
22	0.393	0.946	1.063	0.619	0.915	1.000	0.634
23	0.023	1.363	1.054	0.873	0.831	1.000	0.547
24	0.097	1.434	1.138	0.049	0.819	1.000	0.659
25	1.000	0.904	1.458	0.136	0.832	0.000	0.907
26	0.025	1.053	1.423	0.333	0.859	1.000	0.702
27	1.000	1.496	1.067	0.405	0.620	0.000	0.934
28	1.000	0.647	1.026	0.272	0.624	0.000	0.958
29	0.393	1.332	1.080	0.331	0.730	1.000	0.507
#From	To	chi[to]	beta[fr]	lambda
0	0	0.055	0.544	1.000
0	17	0.032	0.456	1.000
1	0	0.139	0.037	1.000
1	3	0.266	0.086	1.000
1	7	0.061	0.107	1.000
1	10	0.078	0.314	1.000
1	17	0.024	0.072	1.000
1	23	0.236	0.023	1.000
1	26	0.015	0.361	1.000
2	0	0.140	0.089	1.000
2	3	0.136	0.225	1.000
2	7	0.116	0.276	1.000
2	10	0.008	0.005	1.000
2	17	0.034	0.132	1.000
2	26	0.121	0.274	1.000
3	0	0.117	1.000	1.000
4	2	0.011	0.211	1.000
4	5	0.139	0.097	1.000
4	10	0.128	0.026	1.000
4	13	0.049	0.140	1.000
4	14	0.127	0.051	1.000
4	17	0.042	0.230	1.000
4	23	0.042	0.107	1.000
4	26	0.016	0.138	1.000
5	2	0.039	0.158	1.000
5	5	0.043	0.090	1.000
5	10	0.058	0.152	1.000
5	13	0.333	0.122	1.000
5	14	0.100	0.109	1.000
5	17	0.023	0.158	1.000
5	23	0.088	0.051	1.000
5	26	0.081	0.162	1.000
6	2	0.054	0.182	1.000
6	4	0.240	0.161	1.000
6	8	0.420	0.027	1.000
6	11	0.174	0.163	1.000
6	14	0.152	0.141	1.000
6	16	0.018	0.022	1.000
6	18	0.252	0.007	1.000
6	19	0.158	0.182	1.000
6	20	0.076	0.115	1.000
7	0	0.013	0.157	1.000
7	7	0.136	0.209	1.000
7	10	0.003	0.185	1.000
7	17	0.028	0.197	1.000
7	23	0.006	0.125	1.000
7	26	0.106	0.127	1.000
8	2	0.114	0.257	1.000
8	5	0.041	0.119	1.000
8	11	0.186	0.116	1.000
8	13	0.458	0.114	1.000
8	14	0.042	0.156	1.000
8	19	0.047	0.239	1.000
9	0	0.018	0.233	1.000
9	12	0.165	0.420	1.000
9	17	0.062	0.347	1.000
10	5	0.035	0.132	1.000
10	7	0.034	0.191	1.000
10	10	0.044	0.167	1.000
10	14	0.019	0.127	1.000
10	17	0.103	0.030	1.000
10	23	0.254	0.203	1.000
10	26	0.098	0.151	1.000
11	2	0.138	0.026	1.000
11	4	0.084	0.145	1.000
11	8	0.442	0.125	1.000
11	11	0.175	0.196	1.000
11	14	0.077	0.259	1.000
11	16	0.380	0.035	1.000
11	18	0.112	0.064	1.000
11	19	0.150	0.046	1.000
11	20	0.861	0.105	1.000
