#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.624	1.102	0.879	0.618	0.000	0.547
1	1.000	1.499	1.353	0.454	0.665	0.000	0.520
2	0.393	0.628	1.184	0.553	0.837	1.000	0.652
3	1.000	0.920	1.263	0.572	0.654	0.000	0.536
4	1.000	0.722	1.139	0.652	0.868	0.000	0.602
5	1.000	0.620	1.492	0.989	0.702	0.000	0.607
6	0.232	1.087	1.031	0.516	0.619	1.000	0.930
7	0.393	1.234	1.278	0.964	0.969	1.000	0.676
8	0.308	1.212	1.459	0.685	0.670	1.000	0.875
9	0.246	1.201	1.238	0.178	0.712	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	2	1.000	0.632	1.000
0	7	1.000	0.368	1.000
1	6	0.281	0.082	1.000
1	8	0.265	0.918	1.000
2	9	0.565	1.000	1.000
3	8	0.259	1.000	1.000
4	9	0.435	1.000	1.000
5	6	0.276	0.493	1.000
5	8	0.094	0.507	1.000
6	8	0.147	1.000	1.000
7	6	0.392	0.625	1.000
7	8	0.128	0.375	1.000
8	6	0.051	0.538	1.000
8	8	0.107	0.462	1.000
