#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.071	1.189	1.076	0.754	0.953	1.000	0.686
1	0.154	0.785	1.393	0.589	0.682	1.000	0.811
2	0.127	0.963	1.202	0.179	0.659	1.000	0.000
3	1.000	1.205	1.487	0.476	0.697	0.000	0.779
4	0.393	1.317	1.290	0.663	0.847	1.000	0.556
5	0.061	0.926	1.019	0.516	0.534	1.000	0.821
6	0.393	1.045	1.378	0.687	0.811	1.000	0.686
7	0.246	0.873	1.308	0.351	0.939	1.000	0.598
8	1.000	1.477	1.302	0.481	0.793	0.000	0.517
9	0.154	0.707	1.403	0.105	0.845	1.000	0.873
#From	To	chi[to]	beta[fr]	lambda
0	2	0.584	1.000	1.000
1	0	0.172	0.189	1.000
1	5	1.000	0.322	1.000
1	9	0.263	0.489	1.000
2	2	0.077	1.000	1.000
3	2	0.153	1.000	1.000
4	1	0.732	0.354	1.000
4	6	0.734	0.290	1.000
4	9	0.410	0.356	1.000
5	2	0.187	1.000	1.000
6	1	0.268	0.263	1.000
6	6	0.266	0.120	1.000
6	9	0.208	0.617	1.000
7	0	0.563	0.574	1.000
7	7	0.067	0.426	1.000
8	4	1.000	0.965	1.000
8	9	0.118	0.035	1.000
9	0	0.265	0.090	1.000
9	7	0.933	0.910	1.000
