#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.059	1.310	0.340	0.596	0.000	0.688
1	0.393	0.895	1.479	0.984	0.778	1.000	0.512
2	1.000	0.714	1.150	0.980	0.818	0.000	0.658
3	0.316	0.739	1.052	0.508	0.878	1.000	0.000
4	1.000	1.108	1.125	0.157	0.882	0.000	0.567
5	0.307	0.519	1.208	0.472	0.737	1.000	0.647
6	0.362	1.140	1.079	0.027	0.828	1.000	0.784
7	1.000	1.436	1.153	0.110	0.992	0.000	0.609
8	0.627	1.161	1.025	0.180	0.749	1.000	0.842
9	1.000	1.486	1.127	0.365	0.698	0.000	0.751
#From	To	chi[to]	beta[fr]	lambda
0	3	0.164	0.413	1.000
0	5	0.168	0.201	1.000
0	8	0.504	0.386	1.000
1	5	0.208	1.000	1.000
2	3	0.187	1.000	1.000
3	3	0.081	1.000	1.000
4	1	1.000	1.000	1.000
5	3	0.078	0.228	1.000
5	5	0.179	0.292	1.000
5	6	0.504	0.480	1.000
6	3	0.133	0.469	1.000
6	5	0.103	0.429	1.000
6	6	0.025	0.102	1.000
7	3	0.121	1.000	1.000
8	3	0.160	0.374	1.000
8	5	0.028	0.426	1.000
8	8	0.496	0.200	1.000
9	3	0.076	0.489	1.000
9	5	0.314	0.270	1.000
9	6	0.470	0.241	1.000
