#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.054	1.343	1.482	0.221	0.911	1.000	0.641
1	0.101	0.750	1.299	0.891	0.516	1.000	0.000
2	1.000	1.302	1.123	0.521	0.588	0.000	0.591
3	0.393	1.323	1.491	0.071	0.571	1.000	0.775
4	0.137	0.553	1.049	0.567	0.961	1.000	0.713
5	0.122	0.740	1.405	0.652	0.998	1.000	0.891
6	0.032	1.409	1.471	0.366	0.836	1.000	0.000
7	0.627	1.136	1.442	0.462	0.999	1.000	0.909
8	0.311	0.543	1.194	0.117	0.650	1.000	0.553
9	0.122	0.946	1.238	0.459	0.560	1.000	0.868
#From	To	chi[to]	beta[fr]	lambda
0	1	0.314	0.386	1.000
0	6	0.796	0.614	1.000
1	1	0.360	1.000	1.000
2	3	1.000	0.573	1.000
2	7	0.620	0.087	1.000
2	8	0.391	0.340	1.000
3	4	0.133	1.000	1.000
4	0	1.000	1.000	1.000
5	1	0.326	1.000	1.000
7	7	0.380	0.433	1.000
7	8	0.609	0.567	1.000
8	4	0.867	0.508	1.000
8	5	1.000	0.371	1.000
8	9	1.000	0.121	1.000
9	6	0.204	1.000	1.000
