#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.977	1.204	0.423	0.827	0.000	0.592
1	0.020	0.663	1.129	0.242	0.697	1.000	0.675
2	0.051	1.478	1.458	0.509	0.898	1.000	0.650
3	0.393	0.753	1.320	0.078	0.718	1.000	0.671
4	1.000	0.513	1.260	0.491	0.981	0.000	0.708
5	0.097	1.153	1.240	0.061	0.978	1.000	0.977
6	0.126	1.143	1.228	0.643	0.805	1.000	0.649
7	0.126	1.373	1.434	0.641	0.964	1.000	0.559
8	1.000	1.077	1.276	0.575	0.951	0.000	0.991
9	0.246	0.760	1.361	0.279	0.980	1.000	0.861
10	0.098	0.649	1.193	0.052	0.573	1.000	0.772
11	1.000	1.446	1.422	0.787	0.804	0.000	0.794
12	0.136	0.796	1.009	0.094	0.607	1.000	0.642
13	0.038	0.538	1.382	0.382	0.603	1.000	0.736
14	0.098	1.156	1.165	0.883	0.977	1.000	0.866
15	0.126	0.864	1.494	0.876	0.901	1.000	0.000
16	1.000	0.912	1.133	0.980	0.666	0.000	0.864
17	0.128	1.067	1.165	0.619	0.544	1.000	0.848
18	0.122	1.237	1.065	0.432	0.739	1.000	0.946
19	0.088	0.533	1.080	0.039	0.561	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	6	0.072	0.164	1.000
0	7	0.108	0.165	1.000
0	10	0.154	0.199	1.000
0	14	0.088	0.036	1.000
0	15	0.164	0.184	1.000
0	17	0.238	0.116	1.000
0	18	0.124	0.121	1.000
0	19	0.028	0.015	1.000
1	19	0.053	1.000	1.000
2	1	1.000	0.752	1.000
2	19	0.023	0.248	1.000
3	9	0.905	1.000	1.000
4	3	1.000	0.680	1.000
4	9	0.095	0.320	1.000
5	6	0.255	0.182	1.000
5	7	0.126	0.140	1.000
5	10	0.055	0.030	1.000
5	13	1.000	0.116	1.000
5	14	0.040	0.073	1.000
5	15	0.148	0.162	1.000
5	17	0.196	0.119	1.000
5	18	0.302	0.179	1.000
6	2	0.378	0.405	1.000
6	10	0.152	0.046	1.000
6	12	0.306	0.431	1.000
6	14	0.057	0.023	1.000
6	19	0.068	0.094	1.000
7	2	0.471	0.207	1.000
7	10	0.123	0.333	1.000
7	12	0.470	0.213	1.000
7	14	0.138	0.241	1.000
7	19	0.062	0.005	1.000
8	6	0.165	0.165	1.000
8	7	0.205	0.152	1.000
8	10	0.088	0.074	1.000
8	14	0.184	0.133	1.000
8	15	0.041	0.201	1.000
8	17	0.222	0.217	1.000
8	18	0.156	0.009	1.000
8	19	0.088	0.048	1.000
9	5	1.000	0.202	1.000
9	6	0.099	0.069	1.000
9	7	0.150	0.022	1.000
9	10	0.135	0.043	1.000
9	15	0.181	0.306	1.000
9	18	0.093	0.358	1.000
10	19	0.111	1.000	1.000
11	6	0.102	0.037	1.000
11	7	0.038	0.179	1.000
11	10	0.020	0.164	1.000
11	14	0.158	0.154	1.000
11	15	0.163	0.101	1.000
11	17	0.125	0.034	1.000
11	18	0.130	0.299	1.000
11	19	0.141	0.033	1.000
12	2	0.151	0.405	1.000
12	10	0.042	0.056	1.000
12	12	0.029	0.146	1.000
12	14	0.177	0.180	1.000
12	19	0.079	0.213	1.000
13	6	0.191	0.151	1.000
13	7	0.154	0.016	1.000
13	10	0.066	0.319	1.000
13	14	0.089	0.093	1.000
13	15	0.156	0.260	1.000
13	17	0.219	0.023	1.000
13	18	0.196	0.139	1.000
14	19	0.035	1.000	1.000
16	6	0.066	0.232	1.000
16	7	0.056	0.038	1.000
16	10	0.053	0.147	1.000
16	12	0.177	0.053	1.000
16	14	0.034	0.177	1.000
16	15	0.144	0.126	1.000
16	19	0.133	0.227	1.000
17	19	0.048	1.000	1.000
18	6	0.050	0.016	1.000
18	7	0.163	0.076	1.000
18	10	0.112	0.008	1.000
18	12	0.018	0.154	1.000
18	14	0.036	0.328	1.000
18	15	0.002	0.316	1.000
18	19	0.006	0.102	1.000
19	19	0.126	1.000	1.000
