#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	1.487	1.087	0.962	0.986	1.000	0.685
1	1.000	1.290	1.112	0.035	0.794	0.000	0.690
2	0.105	0.740	1.185	0.244	0.841	1.000	0.000
3	0.106	0.650	1.058	0.452	0.661	1.000	0.000
4	1.000	1.333	1.034	0.220	0.876	0.000	0.859
5	1.000	0.969	1.460	0.250	0.642	0.000	0.543
6	0.270	1.035	1.482	0.966	0.822	1.000	0.807
7	0.393	0.735	1.180	0.475	0.972	1.000	0.826
8	0.246	0.576	1.160	0.467	0.871	1.000	0.767
9	0.288	0.982	1.076	0.102	0.771	1.000	0.942
#From	To	chi[to]	beta[fr]	lambda
0	6	0.218	0.511	1.000
0	8	0.069	0.489	1.000
1	6	0.018	0.150	1.000
1	8	0.513	0.800	1.000
1	9	0.343	0.050	1.000
4	0	1.000	0.957	1.000
4	6	0.258	0.043	1.000
5	6	0.349	0.011	1.000
5	7	1.000	0.488	1.000
5	8	0.347	0.072	1.000
5	9	0.390	0.429	1.000
6	2	0.199	0.104	1.000
6	3	1.000	0.896	1.000
7	6	0.157	0.201	1.000
7	8	0.071	0.118	1.000
7	9	0.267	0.681	1.000
8	2	0.338	1.000	1.000
9	2	0.463	1.000	1.000
