#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.336	0.643	1.172	0.020	0.926	1.000	0.514
1	1.000	1.343	1.228	0.727	0.757	0.000	0.576
2	1.000	1.052	1.001	0.892	0.546	0.000	0.945
3	0.288	0.523	1.314	0.867	0.828	1.000	0.000
4	1.000	0.508	1.315	0.754	0.698	0.000	0.762
5	0.211	0.829	1.078	0.416	0.918	1.000	0.885
6	0.393	0.843	1.341	0.514	0.523	1.000	0.841
7	0.393	0.581	1.462	0.342	0.913	1.000	0.000
8	1.000	1.394	1.172	0.731	0.577	0.000	0.844
9	0.246	1.212	1.145	0.166	0.744	1.000	0.605
#From	To	chi[to]	beta[fr]	lambda
0	0	0.059	0.400	1.000
0	5	0.281	0.600	1.000
1	0	0.611	0.120	1.000
1	5	0.200	0.880	1.000
2	9	0.675	1.000	1.000
3	3	0.282	1.000	1.000
4	5	0.114	1.000	1.000
5	3	0.718	1.000	1.000
6	9	0.325	1.000	1.000
8	6	1.000	0.039	1.000
8	7	1.000	0.961	1.000
9	0	0.330	0.685	1.000
9	5	0.405	0.315	1.000
