#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.050	1.013	0.663	0.781	0.000	0.501
1	0.154	0.527	1.417	0.473	0.933	1.000	0.598
2	1.000	0.769	1.212	0.726	0.904	0.000	0.592
3	0.211	0.905	1.427	0.142	0.703	1.000	0.869
4	0.393	1.116	1.164	0.611	0.619	1.000	0.811
5	0.193	1.012	1.416	0.849	0.807	1.000	0.000
6	1.000	1.373	1.303	0.619	0.668	0.000	0.674
7	0.224	1.457	1.247	0.359	0.970	1.000	0.903
8	1.000	1.491	1.127	0.220	0.730	0.000	0.742
9	0.234	0.713	1.361	0.012	0.530	1.000	0.684
#From	To	chi[to]	beta[fr]	lambda
0	3	0.069	0.405	1.000
0	5	0.189	0.151	1.000
0	7	0.090	0.187	1.000
0	9	0.507	0.257	1.000
1	3	0.820	0.554	1.000
1	5	0.172	0.053	1.000
1	7	0.156	0.394	1.000
2	4	1.000	0.358	1.000
2	7	0.256	0.642	1.000
3	5	0.079	0.610	1.000
3	9	0.334	0.390	1.000
4	1	1.000	0.658	1.000
4	5	0.085	0.198	1.000
4	7	0.256	0.144	1.000
5	5	0.193	1.000	1.000
6	5	0.030	1.000	1.000
7	5	0.091	1.000	1.000
8	3	0.111	0.497	1.000
8	5	0.044	0.106	1.000
8	7	0.242	0.146	1.000
8	9	0.159	0.251	1.000
9	5	0.117	1.000	1.000
