#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.446	1.219	0.519	0.755	0.000	0.875
1	0.393	0.556	1.218	0.216	0.952	1.000	0.685
2	1.000	1.156	1.253	0.315	0.969	0.000	0.952
3	0.316	0.554	1.050	0.372	0.796	1.000	0.000
4	1.000	0.713	1.060	0.339	0.602	0.000	0.729
5	0.307	0.579	1.385	0.363	0.934	1.000	0.609
6	0.362	0.800	1.027	0.589	0.853	1.000	0.590
7	1.000	1.355	1.333	0.537	0.688	0.000	0.990
8	0.627	0.531	1.128	0.811	0.590	1.000	0.599
9	1.000	0.585	1.308	0.804	0.908	0.000	0.816
#From	To	chi[to]	beta[fr]	lambda
0	3	0.151	0.201	1.000
0	5	0.402	0.289	1.000
0	8	0.336	0.510	1.000
1	5	0.093	1.000	1.000
2	3	0.105	1.000	1.000
3	3	0.081	1.000	1.000
4	1	1.000	1.000	1.000
5	3	0.140	0.149	1.000
5	5	0.038	0.358	1.000
5	6	0.331	0.494	1.000
6	3	0.155	0.092	1.000
6	5	0.140	0.414	1.000
6	6	0.361	0.494	1.000
7	3	0.179	1.000	1.000
8	3	0.021	0.375	1.000
8	5	0.119	0.267	1.000
8	8	0.664	0.358	1.000
9	3	0.167	0.188	1.000
9	5	0.207	0.373	1.000
9	6	0.308	0.438	1.000
