#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.071	0.672	1.328	0.905	0.839	1.000	0.811
1	0.154	0.730	1.124	0.290	0.673	1.000	0.659
2	0.127	0.994	1.352	0.119	0.648	1.000	0.000
3	1.000	0.829	1.088	0.821	0.713	0.000	0.681
4	0.393	1.245	1.330	0.201	0.629	1.000	0.811
5	0.061	0.699	1.492	0.663	0.919	1.000	0.934
6	0.393	0.785	1.112	0.665	0.685	1.000	0.577
7	0.246	1.208	1.235	0.107	0.760	1.000	0.967
8	1.000	0.654	1.395	0.122	0.928	0.000	0.607
9	0.154	0.763	1.160	0.491	0.513	1.000	0.789
#From	To	chi[to]	beta[fr]	lambda
0	2	0.331	1.000	1.000
1	0	0.308	0.198	1.000
1	5	1.000	0.516	1.000
1	9	0.355	0.286	1.000
2	2	0.285	1.000	1.000
3	2	0.350	1.000	1.000
4	1	0.625	0.632	1.000
4	6	0.503	0.025	1.000
4	9	0.191	0.342	1.000
5	2	0.034	1.000	1.000
6	1	0.375	0.477	1.000
6	6	0.497	0.453	1.000
6	9	0.117	0.070	1.000
7	0	0.097	0.860	1.000
7	7	0.489	0.140	1.000
8	4	1.000	0.411	1.000
8	9	0.337	0.589	1.000
9	0	0.595	0.448	1.000
9	7	0.511	0.552	1.000
