#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.336	1.107	1.051	0.875	0.506	1.000	0.777
1	1.000	1.449	1.220	0.389	0.756	0.000	0.586
2	1.000	0.550	1.128	0.783	0.900	0.000	0.651
3	0.288	1.382	1.260	0.402	0.896	1.000	0.000
4	1.000	1.225	1.395	0.928	0.530	0.000	0.610
5	0.211	0.891	1.152	0.397	0.622	1.000	0.793
6	0.393	1.006	1.114	0.024	0.956	1.000	0.549
7	0.393	1.057	1.085	0.963	0.556	1.000	0.000
8	1.000	0.963	1.009	0.511	0.574	0.000	0.810
9	0.246	0.862	1.032	0.072	0.945	1.000	0.871
#From	To	chi[to]	beta[fr]	lambda
0	0	0.341	0.498	1.000
0	5	0.322	0.502	1.000
1	0	0.547	0.586	1.000
1	5	0.191	0.414	1.000
2	9	0.260	1.000	1.000
3	3	0.288	1.000	1.000
4	5	0.363	1.000	1.000
5	3	0.712	1.000	1.000
6	9	0.740	1.000	1.000
8	6	1.000	0.690	1.000
8	7	1.000	0.310	1.000
9	0	0.112	0.153	1.000
9	5	0.125	0.847	1.000
