#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.785	1.338	0.015	0.675	0.000	0.652
1	1.000	1.399	1.486	0.303	0.521	0.000	0.705
2	0.393	0.519	1.341	0.381	0.516	1.000	0.977
3	1.000	1.002	1.085	0.002	0.580	0.000	0.656
4	1.000	0.637	1.075	0.420	0.760	0.000	0.998
5	1.000	0.725	1.022	0.835	0.870	0.000	0.930
6	0.232	0.812	1.303	0.717	0.879	1.000	0.938
7	0.393	0.616	1.368	0.347	0.943	1.000	0.945
8	0.308	0.721	1.175	0.844	0.888	1.000	0.864
9	0.246	0.901	1.178	0.162	0.590	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	2	1.000	0.626	1.000
0	7	1.000	0.374	1.000
1	6	0.159	0.509	1.000
1	8	0.209	0.491	1.000
2	9	0.497	1.000	1.000
3	8	0.333	1.000	1.000
4	9	0.503	1.000	1.000
5	6	0.256	0.833	1.000
5	8	0.088	0.167	1.000
6	8	0.179	1.000	1.000
7	6	0.196	0.285	1.000
7	8	0.114	0.715	1.000
8	6	0.389	0.046	1.000
8	8	0.078	0.954	1.000
