#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.372	1.305	0.857	0.529	0.000	0.999
1	0.288	1.197	1.235	0.878	0.842	1.000	0.978
2	0.393	1.384	1.212	0.110	0.628	1.000	0.781
3	1.000	0.851	1.056	0.001	0.909	0.000	0.813
4	0.234	0.972	1.318	0.309	0.571	1.000	0.980
5	1.000	1.320	1.254	0.978	0.717	0.000	0.571
6	0.092	1.368	1.395	0.805	0.774	1.000	0.676
7	1.000	1.412	1.441	0.994	0.573	0.000	0.941
8	1.000	1.013	1.415	0.563	0.898	0.000	0.697
9	0.393	1.125	1.224	0.794	0.753	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	4	0.230	1.000	1.000
1	4	0.139	1.000	1.000
2	1	0.204	0.320	1.000
2	4	0.301	0.680	1.000
3	1	0.635	0.122	1.000
3	4	0.156	0.878	1.000
4	4	0.038	0.462	1.000
4	6	1.000	0.538	1.000
5	2	0.549	0.270	1.000
5	9	0.204	0.730	1.000
6	4	0.042	1.000	1.000
7	1	0.161	0.647	1.000
7	4	0.095	0.353	1.000
8	2	0.451	0.295	1.000
8	9	0.796	0.705	1.000
