#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	0.613	1.319	0.809	0.851	1.000	0.927
1	1.000	1.481	1.260	0.437	0.812	0.000	0.614
2	0.105	0.994	1.459	0.082	0.596	1.000	0.000
3	0.106	1.025	1.432	0.627	0.933	1.000	0.000
4	1.000	1.192	1.224	0.813	0.741	0.000	0.616
5	1.000	1.426	1.253	0.651	0.886	0.000	0.535
6	0.270	0.852	1.274	0.977	0.878	1.000	0.511
7	0.393	0.820	1.057	0.020	0.700	1.000	0.540
8	0.246	0.881	1.023	0.696	0.546	1.000	0.951
9	0.288	1.031	1.155	0.142	0.806	1.000	0.837
#From	To	chi[to]	beta[fr]	lambda
0	6	0.075	0.496	1.000
0	8	0.167	0.504	1.000
1	6	0.090	0.278	1.000
1	8	0.466	0.318	1.000
1	9	0.387	0.404	1.000
4	0	1.000	0.541	1.000
4	6	0.085	0.459	1.000
5	6	0.343	0.147	1.000
5	7	1.000	0.496	1.000
5	8	0.229	0.029	1.000
5	9	0.330	0.327	1.000
6	2	0.351	0.605	1.000
6	3	1.000	0.395	1.000
7	6	0.407	0.151	1.000
7	8	0.139	0.454	1.000
7	9	0.284	0.395	1.000
8	2	0.423	1.000	1.000
9	2	0.225	1.000	1.000
