#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.929	1.206	0.637	0.884	0.000	0.737
1	0.393	0.580	1.282	0.879	0.822	1.000	0.898
2	0.040	1.453	1.070	0.996	0.860	1.000	0.680
3	0.083	0.533	1.079	0.349	0.698	1.000	0.928
4	1.000	0.838	1.233	0.156	0.969	0.000	0.937
5	0.211	0.517	1.311	0.636	0.707	1.000	0.862
6	0.083	1.082	1.424	0.622	0.784	1.000	0.824
7	0.393	1.121	1.245	0.969	0.616	1.000	0.596
8	0.051	1.428	1.425	0.746	0.670	1.000	0.676
9	0.175	0.589	1.333	0.544	0.501	1.000	0.758
10	0.081	1.458	1.343	0.580	0.518	1.000	0.537
11	1.000	1.071	1.105	0.625	0.938	0.000	0.979
12	0.075	1.002	1.377	0.578	0.885	1.000	0.604
13	0.034	1.224	1.246	0.991	0.596	1.000	0.804
14	0.075	0.738	1.321	0.758	0.859	1.000	0.995
15	0.288	1.394	1.090	0.382	0.768	1.000	0.927
16	0.154	0.623	1.441	0.091	0.530	1.000	0.882
17	0.393	1.402	1.188	0.078	0.579	1.000	0.878
18	0.032	1.111	1.010	0.232	0.898	1.000	0.717
19	0.023	0.661	1.010	0.911	0.520	1.000	0.756
#From	To	chi[to]	beta[fr]	lambda
0	7	0.340	0.260	1.000
0	15	0.233	0.307	1.000
0	17	0.735	0.433	1.000
1	1	0.545	0.379	1.000
1	5	0.080	0.074	1.000
1	9	0.329	0.024	1.000
1	10	0.052	0.055	1.000
1	12	0.147	0.346	1.000
1	14	0.078	0.122	1.000
2	8	0.248	0.033	1.000
2	13	0.064	0.780	1.000
2	18	0.024	0.158	1.000
2	19	0.246	0.029	1.000
3	2	0.788	0.202	1.000
3	8	0.019	0.161	1.000
3	10	0.017	0.094	1.000
3	12	0.127	0.197	1.000
3	13	0.100	0.192	1.000
3	14	0.014	0.153	1.000
4	7	0.428	0.145	1.000
4	15	0.428	0.427	1.000
4	17	0.217	0.428	1.000
5	3	1.000	0.170	1.000
5	5	0.229	0.085	1.000
5	6	1.000	0.202	1.000
5	10	0.211	0.238	1.000
5	12	0.188	0.109	1.000
5	14	0.164	0.196	1.000
6	2	0.167	0.165	1.000
6	8	0.213	0.214	1.000
6	10	0.059	0.243	1.000
6	12	0.101	0.124	1.000
6	13	0.098	0.123	1.000
6	14	0.265	0.130	1.000
7	1	0.455	0.031	1.000
7	5	0.211	0.120	1.000
7	9	0.275	0.047	1.000
7	10	0.162	0.281	1.000
7	12	0.115	0.162	1.000
7	14	0.186	0.360	1.000
8	8	0.208	0.124	1.000
8	13	0.091	0.334	1.000
8	18	0.064	0.346	1.000
8	19	0.205	0.197	1.000
9	9	0.204	0.056	1.000
9	10	0.170	0.382	1.000
9	12	0.113	0.331	1.000
9	14	0.054	0.232	1.000
10	8	0.170	0.254	1.000
10	13	0.053	0.222	1.000
10	18	0.159	0.130	1.000
10	19	0.258	0.394	1.000
11	7	0.232	0.880	1.000
11	17	0.048	0.120	1.000
12	8	0.077	0.375	1.000
12	13	0.106	0.133	1.000
12	18	0.155	0.265	1.000
12	19	0.290	0.228	1.000
13	13	0.132	0.594	1.000
13	18	0.211	0.406	1.000
14	13	0.081	0.501	1.000
14	18	0.011	0.499	1.000
15	5	0.170	0.398	1.000
15	9	0.168	0.219	1.000
15	10	0.200	0.127	1.000
15	12	0.065	0.027	1.000
15	14	0.171	0.229	1.000
16	2	0.045	0.071	1.000
16	8	0.066	0.441	1.000
16	9	0.024	0.160	1.000
16	10	0.100	0.027	1.000
16	12	0.145	0.221	1.000
16	13	0.083	0.036	1.000
16	14	0.068	0.044	1.000
17	5	0.311	0.079	1.000
17	10	0.029	0.106	1.000
17	15	0.339	0.350	1.000
17	16	1.000	0.465	1.000
18	13	0.085	0.463	1.000
18	18	0.018	0.537	1.000
19	13	0.107	0.424	1.000
19	18	0.358	0.576	1.000
