#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.314	0.925	1.269	0.616	0.896	1.000	0.990
1	1.000	1.162	1.058	0.462	0.892	0.000	0.626
2	0.187	1.401	1.390	0.104	0.876	1.000	0.000
3	1.000	0.669	1.488	0.769	0.926	0.000	0.583
4	0.326	0.684	1.324	0.945	0.757	1.000	0.781
5	1.000	0.630	1.089	0.098	0.938	0.000	0.570
6	0.288	0.509	1.398	0.308	0.671	1.000	0.931
7	1.000	1.068	1.267	0.685	0.875	0.000	0.897
8	0.393	0.927	1.249	0.990	0.915	1.000	0.946
9	1.000	0.973	1.113	0.815	0.931	0.000	0.541
#From	To	chi[to]	beta[fr]	lambda
0	0	0.072	0.254	1.000
0	2	0.221	0.746	1.000
1	4	0.344	1.000	1.000
3	4	0.229	1.000	1.000
4	0	0.148	0.530	1.000
4	2	0.173	0.470	1.000
5	0	0.408	0.150	1.000
5	2	0.251	0.850	1.000
6	2	0.026	1.000	1.000
7	0	0.363	0.602	1.000
7	2	0.221	0.201	1.000
7	4	0.293	0.124	1.000
7	6	0.530	0.074	1.000
8	0	0.009	0.159	1.000
8	2	0.109	0.446	1.000
8	4	0.049	0.032	1.000
8	6	0.267	0.363	1.000
9	4	0.085	0.345	1.000
9	6	0.203	0.295	1.000
9	8	1.000	0.361	1.000
