#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.034	1.054	1.408	0.010	0.782	1.000	0.871
1	0.026	0.787	1.073	0.357	0.784	1.000	0.652
2	0.105	0.796	1.463	0.066	0.673	1.000	0.916
3	0.024	0.953	1.412	0.834	0.696	1.000	0.710
4	0.138	0.990	1.098	0.008	0.616	1.000	0.940
5	0.049	0.793	1.190	0.171	0.517	1.000	0.845
6	1.000	1.085	1.415	0.217	0.602	0.000	0.534
7	0.035	0.833	1.092	0.323	0.594	1.000	0.648
8	0.102	0.698	1.280	0.993	0.759	1.000	0.998
9	1.000	0.694	1.263	0.612	0.769	0.000	0.588
10	0.035	1.355	1.138	0.398	0.701	1.000	0.861
11	0.181	1.082	1.227	0.414	0.759	1.000	0.640
12	0.080	0.747	1.274	0.998	0.548	1.000	0.628
13	0.042	0.574	1.274	0.628	0.953	1.000	0.893
14	0.071	1.314	1.247	0.425	0.757	1.000	0.675
15	0.195	0.907	1.385	0.945	0.617	1.000	0.511
16	0.102	1.322	1.180	0.724	0.729	1.000	0.702
17	0.038	1.125	1.053	0.495	0.960	1.000	0.815
18	0.157	1.298	1.410	0.367	0.829	1.000	0.718
19	0.128	1.080	1.262	0.586	0.500	1.000	0.519
20	0.102	1.066	1.435	0.297	0.794	1.000	0.768
21	0.246	1.166	1.221	0.061	0.599	1.000	0.505
22	0.393	1.200	1.328	0.497	0.823	1.000	0.979
23	0.023	1.219	1.422	0.603	0.719	1.000	0.804
24	0.097	0.741	1.376	0.909	0.511	1.000	0.828
25	1.000	0.507	1.062	0.672	0.899	0.000	0.509
26	0.025	1.289	1.132	0.636	0.607	1.000	0.755
27	1.000	1.494	1.124	0.049	0.620	0.000	0.609
28	1.000	1.433	1.221	0.414	0.808	0.000	0.506
29	0.393	1.185	1.465	0.013	0.669	1.000	0.563
#From	To	chi[to]	beta[fr]	lambda
0	0	0.166	0.525	1.000
0	17	0.019	0.475	1.000
1	0	0.173	0.102	1.000
1	3	0.175	0.018	1.000
1	7	0.128	0.044	1.000
1	10	0.011	0.205	1.000
1	17	0.083	0.204	1.000
1	23	0.179	0.228	1.000
1	26	0.021	0.200	1.000
2	0	0.008	0.251	1.000
2	3	0.102	0.019	1.000
2	7	0.105	0.144	1.000
2	10	0.092	0.258	1.000
2	17	0.082	0.127	1.000
2	26	0.021	0.201	1.000
3	0	0.106	1.000	1.000
4	2	0.015	0.120	1.000
4	5	0.136	0.198	1.000
4	10	0.089	0.200	1.000
4	13	0.391	0.157	1.000
4	14	0.028	0.013	1.000
4	17	0.038	0.051	1.000
4	23	0.174	0.184	1.000
4	26	0.156	0.077	1.000
5	2	0.116	0.055	1.000
5	5	0.234	0.247	1.000
5	10	0.066	0.092	1.000
5	13	0.238	0.155	1.000
5	14	0.084	0.045	1.000
5	17	0.065	0.241	1.000
5	23	0.179	0.125	1.000
5	26	0.110	0.041	1.000
6	2	0.121	0.102	1.000
6	4	0.017	0.108	1.000
6	8	0.494	0.146	1.000
6	11	0.039	0.114	1.000
6	14	0.040	0.112	1.000
6	16	0.526	0.092	1.000
6	18	0.166	0.125	1.000
6	19	0.007	0.101	1.000
6	20	0.461	0.101	1.000
7	0	0.080	0.109	1.000
7	7	0.048	0.055	1.000
7	10	0.129	0.083	1.000
7	17	0.074	0.268	1.000
7	23	0.051	0.133	1.000
7	26	0.144	0.351	1.000
8	2	0.080	0.152	1.000
8	5	0.022	0.146	1.000
8	11	0.118	0.262	1.000
8	13	0.139	0.133	1.000
8	14	0.102	0.092	1.000
8	19	0.187	0.215	1.000
9	0	0.009	0.473	1.000
9	12	0.258	0.327	1.000
9	17	0.055	0.201	1.000
10	5	0.038	0.141	1.000
10	7	0.207	0.162	1.000
10	10	0.113	0.246	1.000
10	14	0.006	0.077	1.000
10	17	0.066	0.082	1.000
10	23	0.004	0.190	1.000
10	26	0.011	0.102	1.000
11	2	0.011	0.151	1.000
11	4	0.175	0.044	1.000
11	8	0.196	0.207	1.000
11	11	0.130	0.046	1.000
11	14	0.053	0.046	1.000
11	16	0.051	0.169	1.000
11	18	0.091	0.153	1.000
11	19	0.158	0.050	1.000
11	20	0.026	0.133	1.000
12	0	0.097	0.533	1.000
12	3	0.246	0.234	1.000
12	12	0.068	0.124	1.000
12	17	0.071	0.109	1.000
13	1	0.532	0.196	1.000
13	5	0.013	0.117	1.000
13	7	0.072	0.084	1.000
13	10	0.084	0.032	1.000
13	14	0.048	0.069	1.000
13	17	0.052	0.074	1.000
13	23	0.070	0.203	1.000
13	26	0.071	0.225	1.000
14	5	0.155	0.083	1.000
14	7	0.099	0.139	1.000
14	10	0.096	0.045	1.000
14	17	0.077	0.195	1.000
14	23	0.121	0.249	1.000
14	26	0.013	0.289	1.000
15	2	0.099	0.156	1.000
15	5	0.099	0.103	1.000
15	13	0.232	0.096	1.000
15	14	0.045	0.255	1.000
15	17	0.045	0.145	1.000
15	19	0.056	0.244	1.000
16	5	0.084	0.175	1.000
16	7	0.101	0.204	1.000
16	10	0.048	0.185	1.000
16	14	0.077	0.047	1.000
16	17	0.046	0.174	1.000
16	23	0.073	0.146	1.000
16	26	0.141	0.070	1.000
17	0	0.059	0.156	1.000
17	3	0.296	0.167	1.000
17	12	0.266	0.275	1.000
17	17	0.039	0.402	1.000
18	0	0.167	0.120	1.000
18	3	0.008	0.191	1.000
18	7	0.096	0.215	1.000
18	10	0.043	0.200	1.000
18	12	0.197	0.095	1.000
18	17	0.034	0.084	1.000
18	26	0.106	0.094	1.000
19	0	0.033	0.305	1.000
19	3	0.101	0.068	1.000
19	7	0.060	0.271	1.000
19	10	0.080	0.130	1.000
19	17	0.006	0.182	1.000
19	26	0.011	0.045	1.000
20	1	0.468	0.177	1.000
20	2	0.023	0.243	1.000
20	5	0.219	0.108	1.000
20	10	0.101	0.166	1.000
20	14	0.090	0.084	1.000
20	17	0.094	0.008	1.000
20	23	0.150	0.114	1.000
20	26	0.095	0.100	1.000
21	2	0.017	0.131	1.000
21	4	0.090	0.091	1.000
21	11	0.164	0.069	1.000
21	14	0.097	0.077	1.000
21	15	0.528	0.147	1.000
21	18	0.088	0.187	1.000
21	19	0.202	0.157	1.000
21	24	1.000	0.141	1.000
22	2	0.080	0.238	1.000
22	4	0.083	0.177	1.000
22	11	0.031	0.023	1.000
22	14	0.084	0.096	1.000
22	18	0.294	0.110	1.000
22	19	0.072	0.182	1.000
22	21	0.484	0.005	1.000
22	29	0.350	0.169	1.000
23	0	0.050	0.021	1.000
23	3	0.073	0.141	1.000
23	7	0.085	0.010	1.000
23	10	0.047	0.134	1.000
23	12	0.212	0.303	1.000
23	17	0.054	0.228	1.000
23	26	0.101	0.162	1.000
24	2	0.072	0.119	1.000
24	4	0.061	0.181	1.000
24	8	0.310	0.007	1.000
24	11	0.065	0.079	1.000
24	14	0.076	0.147	1.000
24	16	0.423	0.182	1.000
24	18	0.082	0.086	1.000
24	19	0.061	0.121	1.000
24	20	0.513	0.078	1.000
25	2	0.120	0.008	1.000
25	4	0.358	0.200	1.000
25	11	0.149	0.047	1.000
25	14	0.066	0.227	1.000
25	15	0.472	0.051	1.000
25	18	0.126	0.161	1.000
25	19	0.120	0.230	1.000
25	29	0.331	0.076	1.000
26	0	0.052	1.000	1.000
27	2	0.050	0.241	1.000
27	11	0.137	0.083	1.000
27	14	0.016	0.168	1.000
27	18	0.056	0.181	1.000
27	19	0.107	0.153	1.000
27	21	0.516	0.105	1.000
27	29	0.226	0.068	1.000
28	2	0.063	0.666	1.000
28	22	1.000	0.334	1.000
29	2	0.131	0.284	1.000
29	4	0.216	0.110	1.000
29	11	0.167	0.119	1.000
29	14	0.089	0.059	1.000
29	18	0.098	0.093	1.000
29	19	0.029	0.226	1.000
29	29	0.093	0.108	1.000
