#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.314	0.813	1.206	0.418	0.643	1.000	0.921
1	1.000	1.461	1.046	0.410	0.860	0.000	0.631
2	0.187	0.693	1.317	0.692	0.685	1.000	0.000
3	1.000	1.473	1.050	0.213	0.681	0.000	0.848
4	0.326	0.570	1.341	0.097	0.981	1.000	0.998
5	1.000	0.622	1.161	0.513	0.889	0.000	0.799
6	0.288	1.466	1.425	0.964	0.758	1.000	0.817
7	1.000	1.275	1.280	0.166	0.629	0.000	0.686
8	0.393	1.124	1.487	0.695	0.692	1.000	0.708
9	1.000	0.882	1.141	0.147	0.575	0.000	0.527
#From	To	chi[to]	beta[fr]	lambda
0	0	0.277	0.368	1.000
0	2	0.189	0.632	1.000
1	4	0.235	1.000	1.000
3	4	0.127	1.000	1.000
4	0	0.224	0.636	1.000
4	2	0.156	0.364	1.000
5	0	0.138	0.349	1.000
5	2	0.197	0.651	1.000
6	2	0.057	1.000	1.000
7	0	0.177	0.238	1.000
7	2	0.200	0.308	1.000
7	4	0.052	0.232	1.000
7	6	0.708	0.222	1.000
8	0	0.183	0.156	1.000
8	2	0.201	0.211	1.000
8	4	0.331	0.133	1.000
8	6	0.202	0.500	1.000
9	4	0.254	0.622	1.000
9	6	0.090	0.370	1.000
9	8	1.000	0.008	1.000
