#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.254	1.107	0.347	0.757	0.000	0.943
1	1.000	1.209	1.133	0.780	0.564	0.000	0.820
2	0.275	0.690	1.372	0.279	0.746	1.000	0.000
3	0.230	1.333	1.268	0.965	0.940	1.000	0.974
4	0.135	1.139	1.040	0.106	0.731	1.000	0.864
5	0.263	0.512	1.107	0.087	0.565	1.000	0.000
6	0.344	0.509	1.458	0.920	0.558	1.000	0.666
7	0.169	1.025	1.198	0.276	0.821	1.000	0.000
8	1.000	0.928	1.021	0.016	0.789	0.000	0.883
9	0.135	1.114	1.065	0.401	0.718	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	5	0.426	0.253	1.000
0	6	0.127	0.318	1.000
0	7	0.232	0.429	1.000
1	2	0.348	1.000	1.000
2	2	0.108	1.000	1.000
3	5	0.107	0.544	1.000
3	6	0.257	0.073	1.000
3	7	0.046	0.383	1.000
4	2	0.544	1.000	1.000
5	5	0.026	1.000	1.000
6	3	0.707	0.286	1.000
6	4	1.000	0.125	1.000
6	5	0.442	0.085	1.000
6	6	0.587	0.076	1.000
6	7	0.722	0.327	1.000
6	9	1.000	0.100	1.000
8	3	0.293	0.444	1.000
8	6	0.030	0.556	1.000
