#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.297	1.008	0.570	0.585	0.000	0.665
1	0.393	1.433	1.360	0.596	0.978	1.000	0.639
2	1.000	1.110	1.166	0.834	0.633	0.000	0.837
3	0.316	1.468	1.309	0.211	0.706	1.000	0.000
4	1.000	1.219	1.437	0.511	0.570	0.000	0.852
5	0.307	1.255	1.487	0.077	0.600	1.000	0.568
6	0.362	0.735	1.376	0.747	0.575	1.000	0.876
7	1.000	0.819	1.110	0.612	0.758	0.000	0.927
8	0.627	0.987	1.264	0.918	0.868	1.000	0.630
9	1.000	0.907	1.491	0.542	0.843	0.000	0.740
#From	To	chi[to]	beta[fr]	lambda
0	3	0.003	0.325	1.000
0	5	0.110	0.295	1.000
0	8	0.533	0.380	1.000
1	5	0.276	1.000	1.000
2	3	0.216	1.000	1.000
3	3	0.163	1.000	1.000
4	1	1.000	1.000	1.000
5	3	0.078	0.592	1.000
5	5	0.177	0.400	1.000
5	6	0.535	0.008	1.000
6	3	0.092	0.662	1.000
6	5	0.149	0.286	1.000
6	6	0.072	0.052	1.000
7	3	0.222	1.000	1.000
8	3	0.103	0.528	1.000
8	5	0.071	0.067	1.000
8	8	0.467	0.405	1.000
9	3	0.124	0.390	1.000
9	5	0.216	0.296	1.000
9	6	0.393	0.315	1.000
