#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	1.260	1.214	0.199	0.955	1.000	0.770
1	1.000	1.495	1.097	0.158	0.902	0.000	0.577
2	0.214	0.712	1.211	0.949	0.921	1.000	0.550
3	0.158	1.411	1.288	0.428	0.505	1.000	0.870
4	0.106	0.564	1.005	0.885	0.594	1.000	0.000
5	1.000	1.388	1.092	0.942	0.745	0.000	0.685
6	0.249	1.199	1.198	0.989	0.665	1.000	0.957
7	1.000	0.858	1.261	0.655	0.620	0.000	0.502
8	0.210	0.944	1.493	0.579	0.826	1.000	0.762
9	0.277	1.467	1.315	0.226	0.739	1.000	0.644
10	0.393	0.989	1.246	0.504	0.808	1.000	0.934
11	0.246	1.149	1.473	0.567	0.873	1.000	0.936
12	1.000	0.626	1.041	0.361	0.803	0.000	0.580
13	0.122	0.763	1.029	0.844	0.511	1.000	0.765
14	0.246	0.969	1.328	0.470	0.850	1.000	0.836
15	1.000	1.280	1.006	0.712	0.778	0.000	0.654
16	0.160	0.659	1.278	0.963	0.860	1.000	0.912
17	0.210	1.320	1.410	0.862	0.963	1.000	0.713
18	1.000	0.999	1.393	0.489	0.726	0.000	0.768
19	1.000	0.970	1.441	0.456	0.693	0.000	0.674
#From	To	chi[to]	beta[fr]	lambda
0	6	0.141	0.152	1.000
0	9	0.056	0.314	1.000
0	11	0.472	0.108	1.000
0	14	0.009	0.361	1.000
0	17	0.160	0.065	1.000
1	0	0.476	0.351	1.000
1	9	0.220	0.246	1.000
1	14	0.251	0.230	1.000
1	17	0.059	0.173	1.000
2	3	0.131	0.469	1.000
2	4	0.086	0.403	1.000
2	13	0.251	0.128	1.000
3	3	0.122	0.346	1.000
3	4	0.148	0.018	1.000
3	13	0.314	0.636	1.000
4	4	0.149	1.000	1.000
5	2	0.118	0.277	1.000
5	3	0.123	0.184	1.000
5	6	0.083	0.286	1.000
5	8	0.023	0.188	1.000
5	10	0.362	0.065	1.000
6	2	0.174	0.191	1.000
6	3	0.016	0.387	1.000
6	6	0.188	0.356	1.000
6	8	0.021	0.066	1.000
7	2	0.058	0.237	1.000
7	6	0.100	0.343	1.000
7	8	0.244	0.097	1.000
7	9	0.097	0.163	1.000
7	16	0.503	0.007	1.000
7	17	0.060	0.154	1.000
8	3	0.110	0.272	1.000
8	4	0.055	0.469	1.000
8	13	0.097	0.258	1.000
9	2	0.115	0.271	1.000
9	6	0.062	0.059	1.000
9	8	0.048	0.132	1.000
9	9	0.291	0.137	1.000
9	16	0.340	0.170	1.000
9	17	0.154	0.231	1.000
10	3	0.069	0.428	1.000
10	4	0.201	0.274	1.000
10	8	0.147	0.298	1.000
11	2	0.145	0.298	1.000
11	6	0.180	0.296	1.000
11	9	0.072	0.050	1.000
11	14	0.308	0.195	1.000
11	17	0.247	0.161	1.000
12	2	0.080	0.112	1.000
12	3	0.063	0.187	1.000
12	8	0.256	0.288	1.000
12	10	0.335	0.414	1.000
13	3	0.107	0.285	1.000
13	4	0.276	0.453	1.000
13	13	0.028	0.261	1.000
14	2	0.020	0.019	1.000
14	6	0.027	0.252	1.000
14	8	0.093	0.007	1.000
14	9	0.060	0.200	1.000
14	16	0.157	0.155	1.000
14	17	0.105	0.367	1.000
15	2	0.055	0.099	1.000
15	3	0.030	0.370	1.000
15	8	0.167	0.206	1.000
15	10	0.302	0.325	1.000
16	3	0.099	0.731	1.000
16	4	0.078	0.224	1.000
16	13	0.309	0.045	1.000
17	3	0.130	0.751	1.000
17	4	0.006	0.249	1.000
18	0	0.524	0.029	1.000
18	6	0.011	0.191	1.000
18	9	0.195	0.246	1.000
18	11	0.528	0.254	1.000
18	14	0.275	0.214	1.000
18	17	0.111	0.065	1.000
19	2	0.234	0.108	1.000
19	6	0.207	0.072	1.000
19	9	0.009	0.495	1.000
19	14	0.157	0.093	1.000
19	17	0.105	0.231	1.000
