#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	0.727	1.117	0.012	0.772	1.000	0.776
1	0.393	1.076	1.055	0.302	0.550	1.000	0.542
2	1.000	1.363	1.159	0.643	0.912	0.000	0.890
3	1.000	0.935	1.214	0.344	0.526	0.000	0.964
4	0.148	0.698	1.358	0.575	0.549	1.000	0.526
5	1.000	0.943	1.157	0.061	0.648	0.000	0.683
6	0.260	1.320	1.118	0.088	0.748	1.000	0.510
7	0.135	0.546	1.371	0.086	0.809	1.000	0.536
8	1.000	1.211	1.051	0.322	0.868	0.000	0.742
9	0.236	1.102	1.120	0.756	0.945	1.000	0.523
10	1.000	1.331	1.315	0.875	0.599	0.000	0.554
11	0.152	0.537	1.249	0.458	0.737	1.000	0.969
12	0.393	1.382	1.358	0.517	0.922	1.000	0.807
13	1.000	1.250	1.371	0.498	0.532	0.000	0.884
14	1.000	0.516	1.232	0.432	0.527	0.000	0.708
15	0.251	0.814	1.276	0.681	0.940	1.000	0.857
16	1.000	1.248	1.012	0.745	0.566	0.000	0.641
17	0.288	0.778	1.482	0.089	0.622	1.000	0.581
18	0.326	1.395	1.001	0.133	0.645	1.000	0.653
19	0.235	1.053	1.497	0.050	0.593	1.000	0.503
#From	To	chi[to]	beta[fr]	lambda
0	4	0.017	0.516	1.000
0	7	0.096	0.484	1.000
1	6	0.165	0.354	1.000
1	9	0.017	0.384	1.000
1	19	0.188	0.262	1.000
2	0	1.000	0.205	1.000
2	9	0.040	0.323	1.000
2	15	0.134	0.128	1.000
2	19	0.234	0.344	1.000
3	6	0.237	0.500	1.000
3	9	0.138	0.083	1.000
3	18	0.230	0.416	1.000
4	4	0.162	0.359	1.000
4	7	0.089	0.120	1.000
4	11	0.173	0.521	1.000
5	1	0.433	0.835	1.000
5	12	1.000	0.165	1.000
6	4	0.102	0.134	1.000
6	7	0.030	0.392	1.000
6	9	0.025	0.198	1.000
6	15	0.444	0.276	1.000
7	4	0.131	0.240	1.000
7	7	0.118	0.760	1.000
8	1	0.567	0.427	1.000
8	9	0.111	0.246	1.000
8	17	0.248	0.137	1.000
8	18	0.138	0.190	1.000
9	4	0.142	0.372	1.000
9	7	0.068	0.392	1.000
9	11	0.172	0.236	1.000
10	4	0.091	0.429	1.000
10	7	0.139	0.571	1.000
11	4	0.041	0.356	1.000
11	7	0.061	0.557	1.000
11	11	0.337	0.087	1.000
12	9	0.140	0.658	1.000
12	17	0.587	0.213	1.000
12	18	0.488	0.129	1.000
13	6	0.125	0.186	1.000
13	9	0.132	0.219	1.000
13	17	0.164	0.328	1.000
13	18	0.110	0.266	1.000
14	6	0.369	0.074	1.000
14	9	0.114	0.742	1.000
14	18	0.034	0.184	1.000
15	4	0.007	0.097	1.000
15	7	0.170	0.160	1.000
15	11	0.318	0.742	1.000
16	4	0.082	0.376	1.000
16	9	0.144	0.196	1.000
16	15	0.421	0.238	1.000
16	19	0.141	0.190	1.000
17	4	0.109	0.020	1.000
17	7	0.200	0.503	1.000
17	9	0.052	0.477	1.000
18	6	0.104	0.132	1.000
18	9	0.086	0.356	1.000
18	19	0.436	0.512	1.000
19	4	0.115	0.667	1.000
19	7	0.030	0.333	1.000
