#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.154	0.515	1.012	0.060	0.716	1.000	0.566
1	0.246	1.263	1.080	0.412	0.561	1.000	0.959
2	0.097	0.694	1.276	0.967	0.630	1.000	0.000
3	1.000	1.014	1.025	0.627	0.987	0.000	0.992
4	0.122	1.433	1.413	0.089	0.945	1.000	0.000
5	0.097	1.089	1.076	0.780	0.895	1.000	0.000
6	0.246	1.277	1.108	0.667	0.959	1.000	0.659
7	0.393	1.215	1.026	0.108	0.873	1.000	0.508
8	0.097	0.966	1.411	0.763	0.689	1.000	0.000
9	1.000	0.868	1.250	0.901	0.821	0.000	0.649
#From	To	chi[to]	beta[fr]	lambda
0	4	0.182	1.000	1.000
1	4	0.192	0.879	1.000
1	5	1.000	0.121	1.000
3	1	0.074	0.478	1.000
3	6	0.138	0.316	1.000
3	7	1.000	0.206	1.000
6	2	1.000	0.336	1.000
6	4	0.555	0.332	1.000
6	8	1.000	0.331	1.000
7	0	1.000	0.464	1.000
7	1	0.926	0.438	1.000
7	6	0.862	0.098	1.000
9	4	0.072	1.000	1.000
