#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.061	1.293	1.209	0.709	0.880	1.000	0.503
1	0.139	1.254	1.229	0.145	0.714	1.000	0.673
2	0.022	0.635	1.205	0.676	0.723	1.000	0.635
3	1.000	1.434	1.004	0.046	0.683	0.000	0.958
4	0.288	0.575	1.433	0.219	0.944	1.000	0.560
5	0.055	0.664	1.068	0.040	0.977	1.000	0.621
6	0.393	0.744	1.446	0.183	0.997	1.000	0.510
7	1.000	0.752	1.116	0.743	0.749	0.000	0.650
8	0.057	1.193	1.309	0.778	0.968	1.000	0.539
9	0.154	0.714	1.266	0.086	0.884	1.000	0.819
#From	To	chi[to]	beta[fr]	lambda
0	1	0.252	0.537	1.000
0	5	0.220	0.463	1.000
1	1	0.464	0.875	1.000
1	5	0.209	0.125	1.000
2	8	0.148	1.000	1.000
3	4	0.187	0.165	1.000
3	6	1.000	0.835	1.000
4	1	0.284	0.728	1.000
4	5	0.261	0.272	1.000
5	2	0.465	0.025	1.000
5	8	0.350	0.975	1.000
6	4	0.264	0.543	1.000
6	9	1.000	0.457	1.000
7	4	0.549	1.000	1.000
8	2	0.535	0.553	1.000
8	8	0.502	0.447	1.000
9	0	1.000	0.475	1.000
9	5	0.310	0.525	1.000
