#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.154	1.213	1.140	0.625	0.590	1.000	0.801
1	0.246	0.536	1.052	0.649	0.731	1.000	0.609
2	0.097	0.837	1.271	0.718	0.673	1.000	0.000
3	1.000	1.259	1.376	0.815	0.994	0.000	0.597
4	0.122	1.224	1.034	0.157	0.673	1.000	0.000
5	0.097	1.108	1.371	0.324	0.794	1.000	0.000
6	0.246	1.041	1.177	0.192	0.870	1.000	0.561
7	0.393	0.660	1.420	0.127	0.938	1.000	0.794
8	0.097	1.314	1.142	0.192	0.512	1.000	0.000
9	1.000	0.856	1.466	0.068	0.927	0.000	0.782
#From	To	chi[to]	beta[fr]	lambda
0	4	0.223	1.000	1.000
1	4	0.379	0.525	1.000
1	5	1.000	0.475	1.000
3	1	0.404	0.149	1.000
3	6	0.085	0.423	1.000
3	7	1.000	0.428	1.000
6	2	1.000	0.440	1.000
6	4	0.122	0.054	1.000
6	8	1.000	0.505	1.000
7	0	1.000	0.374	1.000
7	1	0.596	0.307	1.000
7	6	0.915	0.319	1.000
9	4	0.275	1.000	1.000
