#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.154	0.979	1.332	0.369	0.853	1.000	0.525
1	0.111	0.860	1.272	0.320	0.860	1.000	0.725
2	1.000	1.257	1.448	0.933	0.699	0.000	0.883
3	0.393	1.066	1.093	0.208	0.861	1.000	0.972
4	1.000	1.187	1.144	0.914	0.891	0.000	0.669
5	1.000	1.271	1.339	0.465	0.658	0.000	0.700
6	0.135	0.795	1.255	0.626	0.567	1.000	0.651
7	0.627	0.833	1.008	0.374	0.848	1.000	0.893
8	0.097	0.578	1.493	0.296	0.719	1.000	0.789
9	0.084	1.420	1.012	0.869	0.521	1.000	0.549
10	0.180	0.621	1.394	0.220	0.796	1.000	0.579
11	0.120	0.620	1.259	0.251	0.984	1.000	0.611
12	0.120	0.719	1.167	0.115	0.577	1.000	0.714
13	1.000	0.862	1.172	0.154	0.734	0.000	0.596
14	0.393	1.221	1.011	0.370	0.985	1.000	0.840
15	1.000	0.722	1.093	0.861	0.986	0.000	0.872
16	0.195	0.737	1.200	0.804	0.897	1.000	0.628
17	0.101	1.112	1.019	0.182	0.799	1.000	0.991
18	1.000	1.245	1.065	0.074	0.739	0.000	0.854
19	1.000	1.116	1.284	0.139	0.718	0.000	0.575
20	0.131	0.931	1.106	0.161	0.574	1.000	0.874
21	0.095	0.565	1.163	0.488	0.821	1.000	0.000
22	0.311	0.509	1.089	0.377	0.907	1.000	0.987
23	0.061	1.245	1.321	0.713	0.771	1.000	0.766
24	0.154	1.436	1.197	0.488	0.872	1.000	0.533
25	1.000	1.123	1.015	0.552	0.957	0.000	0.544
26	0.082	0.616	1.482	0.544	0.945	1.000	0.598
27	0.195	0.719	1.018	0.945	0.723	1.000	0.906
28	0.108	0.655	1.382	0.096	0.621	1.000	0.993
29	0.164	0.538	1.379	0.201	0.669	1.000	0.635
#From	To	chi[to]	beta[fr]	lambda
0	6	0.169	0.055	1.000
0	11	0.085	0.154	1.000
0	12	0.097	0.185	1.000
0	17	0.216	0.100	1.000
0	23	1.000	0.136	1.000
0	24	0.320	0.206	1.000
0	28	0.068	0.162	1.000
1	21	0.045	1.000	1.000
2	1	0.089	0.434	1.000
2	3	1.000	0.009	1.000
2	10	0.227	0.179	1.000
2	20	0.283	0.378	1.000
3	1	0.060	0.708	1.000
3	20	0.165	0.292	1.000
4	1	0.060	0.384	1.000
4	21	0.096	0.616	1.000
5	1	0.072	0.434	1.000
5	10	0.436	0.505	1.000
5	20	0.196	0.061	1.000
6	21	0.119	1.000	1.000
7	6	0.095	0.170	1.000
7	7	0.150	0.016	1.000
7	11	0.062	0.058	1.000
7	12	0.048	0.022	1.000
7	16	0.772	0.205	1.000
7	22	0.383	0.131	1.000
7	27	0.936	0.245	1.000
7	28	0.085	0.153	1.000
8	1	0.088	0.678	1.000
8	10	0.337	0.039	1.000
8	20	0.159	0.283	1.000
9	21	0.038	1.000	1.000
10	1	0.031	0.213	1.000
10	21	0.050	0.787	1.000
11	1	0.047	0.638	1.000
11	21	0.052	0.362	1.000
12	21	0.064	1.000	1.000
13	1	0.057	0.130	1.000
13	6	0.175	0.137	1.000
13	11	0.090	0.176	1.000
13	12	0.095	0.188	1.000
13	17	0.174	0.155	1.000
13	24	0.177	0.067	1.000
13	28	0.130	0.147	1.000
14	0	1.000	0.105	1.000
14	6	0.173	0.235	1.000
14	11	0.010	0.043	1.000
14	12	0.112	0.222	1.000
14	16	0.228	0.162	1.000
14	27	0.064	0.032	1.000
14	28	0.107	0.203	1.000
15	1	0.054	0.682	1.000
15	21	0.125	0.318	1.000
16	1	0.089	0.137	1.000
16	6	0.008	0.124	1.000
16	8	0.731	0.160	1.000
16	11	0.003	0.056	1.000
16	12	0.043	0.138	1.000
16	17	0.104	0.103	1.000
16	26	0.226	0.159	1.000
16	28	0.099	0.041	1.000
16	29	0.111	0.082	1.000
17	21	0.018	1.000	1.000
18	6	0.142	0.239	1.000
18	11	0.034	0.145	1.000
18	12	0.129	0.192	1.000
18	17	0.137	0.333	1.000
18	28	0.131	0.091	1.000
19	6	0.051	0.095	1.000
