#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.235	0.576	1.379	0.388	0.617	1.000	0.893
1	1.000	1.435	1.206	0.055	0.705	0.000	0.594
2	0.393	1.172	1.085	0.858	0.631	1.000	0.842
3	1.000	1.477	1.025	0.794	0.525	0.000	0.736
4	1.000	1.299	1.101	0.154	0.619	0.000	0.996
5	1.000	0.560	1.262	0.488	0.646	0.000	0.726
6	1.000	1.223	1.212	0.514	0.528	0.000	0.514
7	0.171	1.279	1.268	0.144	0.576	1.000	0.729
8	1.000	0.810	1.481	0.571	0.820	0.000	0.946
9	1.000	0.659	1.036	0.046	0.501	0.000	0.630
10	0.141	1.017	1.027	0.851	0.965	1.000	0.000
11	0.246	0.544	1.165	0.886	0.727	1.000	0.799
12	0.293	1.217	1.145	0.595	0.772	1.000	0.780
13	0.195	0.827	1.119	0.580	0.707	1.000	0.720
14	0.246	1.205	1.496	0.370	0.852	1.000	0.751
15	0.627	1.206	1.278	0.039	0.882	1.000	0.938
16	0.496	1.137	1.318	0.329	0.978	1.000	0.598
17	0.180	1.163	1.435	0.623	0.874	1.000	0.896
18	0.393	0.791	1.102	0.866	0.764	1.000	0.000
19	0.336	0.680	1.465	0.571	0.654	1.000	0.669
#From	To	chi[to]	beta[fr]	lambda
0	10	0.124	0.722	1.000
0	17	0.051	0.278	1.000
1	10	0.032	0.912	1.000
1	17	0.194	0.088	1.000
2	17	0.056	1.000	1.000
3	0	0.111	0.053	1.000
3	12	0.331	0.408	1.000
3	13	0.100	0.254	1.000
3	14	0.202	0.285	1.000
4	2	1.000	0.390	1.000
4	7	0.248	0.035	1.000
4	13	0.150	0.261	1.000
4	17	0.040	0.259	1.000
4	19	0.380	0.055	1.000
5	18	0.860	1.000	1.000
6	15	0.865	0.186	1.000
6	18	0.140	0.814	1.000
7	10	0.037	0.787	1.000
7	17	0.081	0.213	1.000
8	10	0.176	0.495	1.000
8	17	0.012	0.505	1.000
9	0	0.226	0.114	1.000
9	12	0.090	0.124	1.000
9	13	0.120	0.356	1.000
9	14	0.641	0.406	1.000
11	0	0.204	0.324	1.000
11	13	0.113	0.554	1.000
11	14	0.156	0.123	1.000
12	10	0.313	0.475	1.000
12	13	0.131	0.377	1.000
12	17	0.057	0.148	1.000
13	17	0.088	1.000	1.000
14	7	0.316	0.323	1.000
14	13	0.125	0.377	1.000
14	17	0.146	0.294	1.000
14	19	0.373	0.007	1.000
15	0	0.274	0.085	1.000
15	11	1.000	0.159	1.000
15	12	0.330	0.241	1.000
15	13	0.051	0.213	1.000
15	15	0.135	0.159	1.000
15	16	0.498	0.143	1.000
16	0	0.185	0.610	1.000
16	12	0.249	0.095	1.000
16	13	0.101	0.114	1.000
16	16	0.502	0.181	1.000
17	10	0.318	0.432	1.000
17	17	0.094	0.568	1.000
19	7	0.436	0.198	1.000
19	13	0.109	0.295	1.000
19	17	0.180	0.320	1.000
19	19	0.247	0.187	1.000
