#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.061	0.759	1.036	0.490	0.843	1.000	0.528
1	0.139	0.720	1.109	0.419	0.653	1.000	0.703
2	0.022	1.017	1.331	0.269	0.996	1.000	0.795
3	1.000	0.755	1.466	0.695	0.826	0.000	0.842
4	0.288	1.141	1.039	0.812	0.715	1.000	0.682
5	0.055	0.580	1.464	0.216	0.514	1.000	0.667
6	0.393	0.647	1.448	0.375	0.623	1.000	0.647
7	1.000	0.723	1.327	0.118	0.864	0.000	0.736
8	0.057	0.722	1.147	0.660	0.784	1.000	0.858
9	0.154	0.777	1.255	0.939	0.972	1.000	0.524
#From	To	chi[to]	beta[fr]	lambda
0	1	0.428	0.818	1.000
0	5	0.310	0.182	1.000
1	1	0.430	0.312	1.000
1	5	0.254	0.688	1.000
2	8	0.457	1.000	1.000
3	4	0.238	0.477	1.000
3	6	1.000	0.523	1.000
4	1	0.142	0.699	1.000
4	5	0.202	0.301	1.000
5	2	0.792	0.409	1.000
5	8	0.492	0.591	1.000
6	4	0.487	0.498	1.000
6	9	1.000	0.502	1.000
7	4	0.275	1.000	1.000
8	2	0.208	0.214	1.000
8	8	0.051	0.786	1.000
9	0	1.000	0.223	1.000
9	5	0.234	0.777	1.000
