#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.071	1.116	1.460	0.436	0.673	1.000	0.774
1	0.154	1.035	1.402	0.667	0.789	1.000	0.598
2	0.127	0.586	1.392	0.667	0.876	1.000	0.000
3	1.000	0.661	1.331	0.688	0.513	0.000	0.959
4	0.393	1.271	1.280	0.874	0.944	1.000	0.772
5	0.061	1.162	1.270	0.868	0.742	1.000	0.713
6	0.393	1.044	1.248	0.196	0.580	1.000	0.695
7	0.246	0.579	1.007	0.325	0.821	1.000	0.600
8	1.000	1.479	1.038	0.217	0.827	0.000	0.675
9	0.154	1.163	1.048	0.366	0.908	1.000	0.926
#From	To	chi[to]	beta[fr]	lambda
0	2	0.342	1.000	1.000
1	0	0.335	0.020	1.000
1	5	1.000	0.574	1.000
1	9	0.285	0.405	1.000
2	2	0.234	1.000	1.000
3	2	0.243	1.000	1.000
4	1	0.446	0.409	1.000
4	6	0.734	0.319	1.000
4	9	0.481	0.273	1.000
5	2	0.181	1.000	1.000
6	1	0.554	0.195	1.000
6	6	0.266	0.345	1.000
6	9	0.164	0.459	1.000
7	0	0.171	0.319	1.000
7	7	0.329	0.681	1.000
8	4	1.000	0.271	1.000
8	9	0.070	0.729	1.000
9	0	0.494	0.838	1.000
9	7	0.671	0.162	1.000
