#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.520	1.415	0.877	0.747	0.000	0.681
1	0.038	0.713	1.390	0.296	0.623	1.000	0.000
2	0.122	0.916	1.068	0.945	0.553	1.000	0.890
3	0.154	1.458	1.233	0.824	0.511	1.000	0.955
4	0.073	0.729	1.454	0.165	0.928	1.000	0.866
5	0.024	0.858	1.433	0.126	0.726	1.000	0.816
6	0.062	0.766	1.358	0.175	0.824	1.000	0.867
7	0.086	0.861	1.253	0.870	0.800	1.000	0.977
8	0.017	1.108	1.468	0.353	0.729	1.000	0.000
9	0.032	0.823	1.157	0.423	0.615	1.000	0.000
10	0.024	0.511	1.343	0.488	0.897	1.000	0.536
11	0.219	1.119	1.131	0.183	0.854	1.000	0.985
12	0.101	1.303	1.437	0.178	0.523	1.000	0.934
13	0.028	0.586	1.432	0.054	0.555	1.000	0.874
14	0.393	0.592	1.103	0.830	0.956	1.000	0.957
15	0.154	1.376	1.083	0.121	0.866	1.000	0.714
16	0.063	1.472	1.175	0.978	0.962	1.000	0.672
17	0.043	1.082	1.065	0.184	0.958	1.000	0.974
18	1.000	0.932	1.021	0.586	0.590	0.000	0.815
19	0.154	1.076	1.356	0.868	0.892	1.000	0.818
#From	To	chi[to]	beta[fr]	lambda
0	2	0.298	0.134	1.000
0	3	0.416	0.490	1.000
0	12	0.257	0.267	1.000
0	15	0.211	0.110	1.000
2	1	0.159	0.211	1.000
2	4	0.102	0.166	1.000
2	6	0.049	0.074	1.000
2	11	0.491	0.233	1.000
2	12	0.138	0.066	1.000
2	16	0.236	0.114	1.000
2	17	0.352	0.136	1.000
3	1	0.108	0.310	1.000
3	4	0.133	0.308	1.000
3	6	0.237	0.134	1.000
3	16	0.438	0.193	1.000
3	17	0.111	0.055	1.000
4	1	0.173	0.237	1.000
4	4	0.115	0.405	1.000
4	13	0.292	0.358	1.000
5	9	0.414	1.000	1.000
6	1	0.037	0.252	1.000
6	4	0.198	0.509	1.000
6	17	0.184	0.239	1.000
7	1	0.116	0.078	1.000
7	5	0.861	0.359	1.000
7	10	0.857	0.442	1.000
7	13	0.444	0.121	1.000
9	9	0.294	1.000	1.000
10	9	0.134	1.000	1.000
11	1	0.017	0.090	1.000
11	4	0.219	0.185	1.000
11	6	0.417	0.319	1.000
11	7	1.000	0.116	1.000
11	11	0.509	0.074	1.000
11	16	0.326	0.005	1.000
11	17	0.078	0.210	1.000
12	1	0.153	0.126	1.000
12	13	0.102	0.874	1.000
13	9	0.158	1.000	1.000
14	2	0.123	0.024	1.000
14	12	0.025	0.243	1.000
14	15	0.496	0.387	1.000
14	19	1.000	0.346	1.000
15	1	0.034	0.367	1.000
15	2	0.041	0.168	1.000
15	6	0.297	0.357	1.000
15	12	0.299	0.108	1.000
16	1	0.096	0.326	1.000
16	4	0.233	0.161	1.000
16	17	0.275	0.513	1.000
17	1	0.105	0.157	1.000
17	5	0.139	0.256	1.000
17	8	1.000	0.152	1.000
17	10	0.143	0.333	1.000
17	13	0.162	0.102	1.000
18	14	1.000	1.000	1.000
19	2	0.538	0.339	1.000
19	3	0.584	0.284	1.000
19	12	0.280	0.319	1.000
19	15	0.293	0.058	1.000
