#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.336	1.037	1.467	0.079	0.717	1.000	0.636
1	1.000	0.728	1.093	0.478	0.729	0.000	0.642
2	1.000	1.234	1.171	0.293	0.947	0.000	0.879
3	0.288	0.690	1.008	0.072	0.898	1.000	0.000
4	1.000	0.915	1.229	0.504	0.689	0.000	0.888
5	0.211	0.782	1.437	0.302	0.561	1.000	0.790
6	0.393	1.388	1.121	0.414	0.651	1.000	0.681
7	0.393	0.692	1.132	0.541	0.898	1.000	0.000
8	1.000	0.915	1.461	0.470	0.664	0.000	0.778
9	0.246	0.749	1.063	0.374	0.838	1.000	0.523
#From	To	chi[to]	beta[fr]	lambda
0	0	0.506	0.059	1.000
0	5	0.627	0.941	1.000
1	0	0.350	0.355	1.000
1	5	0.070	0.645	1.000
2	9	0.608	1.000	1.000
3	3	0.616	1.000	1.000
4	5	0.122	1.000	1.000
5	3	0.384	1.000	1.000
6	9	0.392	1.000	1.000
8	6	1.000	0.845	1.000
8	7	1.000	0.155	1.000
9	0	0.144	0.456	1.000
9	5	0.181	0.544	1.000
