#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.085	1.447	0.351	0.641	0.000	0.917
1	0.020	0.936	1.335	0.458	0.990	1.000	0.889
2	0.051	1.390	1.116	0.013	0.998	1.000	0.850
3	0.393	0.956	1.215	0.256	0.606	1.000	0.860
4	1.000	0.823	1.297	0.953	0.979	0.000	0.627
5	0.097	1.213	1.333	0.548	0.620	1.000	0.555
6	0.126	1.311	1.289	0.528	0.691	1.000	0.841
7	0.126	1.462	1.466	0.552	0.878	1.000	0.603
8	1.000	0.847	1.111	0.832	0.969	0.000	0.756
9	0.246	0.779	1.074	0.582	0.781	1.000	0.636
10	0.098	1.027	1.369	0.740	0.503	1.000	0.845
11	1.000	1.009	1.202	0.501	0.810	0.000	0.628
12	0.136	1.175	1.216	0.515	0.797	1.000	0.682
13	0.038	0.562	1.271	0.157	0.548	1.000	0.739
14	0.098	1.157	1.425	0.582	0.894	1.000	0.507
15	0.126	0.930	1.478	0.337	0.503	1.000	0.000
16	1.000	1.450	1.443	0.957	0.559	0.000	0.601
17	0.128	0.948	1.465	0.142	0.751	1.000	0.945
18	0.122	0.786	1.297	0.224	0.849	1.000	0.589
19	0.088	1.429	1.450	0.873	0.713	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	6	0.029	0.082	1.000
0	7	0.087	0.006	1.000
0	10	0.136	0.211	1.000
0	14	0.019	0.024	1.000
0	15	0.155	0.258	1.000
0	17	0.115	0.046	1.000
0	18	0.147	0.120	1.000
0	19	0.090	0.252	1.000
1	19	0.072	1.000	1.000
2	1	1.000	0.042	1.000
2	19	0.060	0.958	1.000
3	9	0.519	1.000	1.000
4	3	1.000	0.294	1.000
4	9	0.481	0.706	1.000
5	6	0.207	0.034	1.000
5	7	0.160	0.151	1.000
5	10	0.089	0.133	1.000
5	13	1.000	0.134	1.000
5	14	0.140	0.160	1.000
5	15	0.200	0.132	1.000
5	17	0.134	0.132	1.000
5	18	0.036	0.124	1.000
6	2	0.010	0.193	1.000
6	10	0.011	0.260	1.000
6	12	0.232	0.110	1.000
6	14	0.137	0.292	1.000
6	19	0.027	0.144	1.000
7	2	0.338	0.300	1.000
7	10	0.010	0.323	1.000
7	12	0.211	0.226	1.000
7	14	0.042	0.080	1.000
7	19	0.013	0.070	1.000
8	6	0.146	0.138	1.000
8	7	0.010	0.144	1.000
8	10	0.107	0.166	1.000
8	14	0.161	0.082	1.000
8	15	0.003	0.195	1.000
8	17	0.393	0.158	1.000
8	18	0.178	0.048	1.000
8	19	0.111	0.069	1.000
9	5	1.000	0.193	1.000
9	6	0.176	0.097	1.000
9	7	0.250	0.048	1.000
9	10	0.127	0.254	1.000
9	15	0.075	0.326	1.000
9	18	0.241	0.081	1.000
10	19	0.035	1.000	1.000
11	6	0.158	0.117	1.000
11	7	0.089	0.018	1.000
11	10	0.121	0.284	1.000
11	14	0.079	0.124	1.000
11	15	0.118	0.043	1.000
11	17	0.276	0.069	1.000
11	18	0.113	0.245	1.000
11	19	0.050	0.100	1.000
12	2	0.652	0.297	1.000
12	10	0.114	0.061	1.000
12	12	0.126	0.207	1.000
12	14	0.048	0.099	1.000
12	19	0.024	0.335	1.000
13	6	0.181	0.170	1.000
13	7	0.188	0.195	1.000
13	10	0.079	0.192	1.000
13	14	0.167	0.155	1.000
13	15	0.275	0.128	1.000
13	17	0.082	0.085	1.000
13	18	0.286	0.074	1.000
14	19	0.120	1.000	1.000
16	6	0.016	0.238	1.000
16	7	0.007	0.193	1.000
16	10	0.135	0.100	1.000
16	12	0.224	0.155	1.000
16	14	0.187	0.152	1.000
16	15	0.156	0.132	1.000
16	19	0.101	0.031	1.000
17	19	0.121	1.000	1.000
18	6	0.088	0.288	1.000
18	7	0.209	0.082	1.000
18	10	0.071	0.124	1.000
18	12	0.207	0.021	1.000
18	14	0.019	0.202	1.000
18	15	0.017	0.113	1.000
18	19	0.109	0.168	1.000
19	19	0.067	1.000	1.000
