#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.181	1.387	0.756	0.893	0.000	0.876
1	0.393	0.960	1.295	0.403	0.870	1.000	0.542
2	1.000	0.639	1.396	0.190	0.981	0.000	0.582
3	0.316	1.342	1.199	0.295	0.595	1.000	0.000
4	1.000	1.049	1.287	0.079	0.707	0.000	0.951
5	0.307	0.686	1.343	0.705	0.819	1.000	0.551
6	0.362	1.025	1.442	0.530	0.951	1.000	0.592
7	1.000	1.370	1.159	0.956	0.809	0.000	0.551
8	0.627	0.574	1.226	0.797	0.529	1.000	0.989
9	1.000	1.412	1.023	0.240	0.831	0.000	0.915
#From	To	chi[to]	beta[fr]	lambda
0	3	0.041	0.241	1.000
0	5	0.052	0.046	1.000
0	8	0.299	0.714	1.000
1	5	0.090	1.000	1.000
2	3	0.062	1.000	1.000
3	3	0.010	1.000	1.000
4	1	1.000	1.000	1.000
5	3	0.268	0.146	1.000
5	5	0.188	0.503	1.000
5	6	0.341	0.351	1.000
6	3	0.347	0.133	1.000
6	5	0.236	0.470	1.000
6	6	0.301	0.397	1.000
7	3	0.008	1.000	1.000
8	3	0.172	0.040	1.000
8	5	0.306	0.775	1.000
8	8	0.701	0.185	1.000
9	3	0.091	0.429	1.000
9	5	0.129	0.211	1.000
9	6	0.358	0.360	1.000
