#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.531	1.417	0.918	0.571	0.000	0.624
1	0.393	0.840	1.157	0.436	0.814	1.000	0.547
2	1.000	0.720	1.121	0.080	0.547	0.000	0.968
3	0.316	0.575	1.315	0.217	0.955	1.000	0.000
4	1.000	1.203	1.171	0.483	0.566	0.000	0.972
5	0.307	0.538	1.364	0.739	0.793	1.000	0.918
6	0.362	1.194	1.041	0.667	0.567	1.000	0.669
7	1.000	1.323	1.364	0.595	0.815	0.000	0.676
8	0.627	0.580	1.370	0.490	0.796	1.000	0.941
9	1.000	1.100	1.484	0.417	0.740	0.000	0.780
#From	To	chi[to]	beta[fr]	lambda
0	3	0.194	0.495	1.000
0	5	0.179	0.361	1.000
0	8	0.950	0.144	1.000
1	5	0.308	1.000	1.000
2	3	0.170	1.000	1.000
3	3	0.065	1.000	1.000
4	1	1.000	1.000	1.000
5	3	0.028	0.389	1.000
5	5	0.307	0.113	1.000
5	6	0.330	0.498	1.000
6	3	0.150	0.364	1.000
6	5	0.046	0.414	1.000
6	6	0.333	0.222	1.000
7	3	0.169	1.000	1.000
8	3	0.147	0.218	1.000
8	5	0.142	0.346	1.000
8	8	0.050	0.436	1.000
9	3	0.077	0.436	1.000
9	5	0.018	0.275	1.000
9	6	0.337	0.289	1.000
