#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.487	1.450	0.997	0.520	0.000	0.718
1	1.000	0.581	1.256	0.099	0.674	0.000	0.825
2	0.393	0.690	1.173	0.482	0.545	1.000	0.548
3	1.000	1.277	1.463	0.084	0.639	0.000	0.633
4	1.000	0.976	1.388	0.337	0.583	0.000	0.686
5	1.000	0.794	1.463	0.731	0.863	0.000	0.895
6	0.232	0.942	1.140	0.200	0.692	1.000	0.554
7	0.393	1.133	1.081	0.083	0.885	1.000	0.652
8	0.308	0.904	1.061	0.115	0.669	1.000	0.571
9	0.246	1.408	1.268	0.412	0.526	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	2	1.000	0.355	1.000
0	7	1.000	0.645	1.000
1	6	0.232	0.379	1.000
1	8	0.193	0.621	1.000
2	9	0.707	1.000	1.000
3	8	0.093	1.000	1.000
4	9	0.293	1.000	1.000
5	6	0.364	0.295	1.000
5	8	0.145	0.705	1.000
6	8	0.103	1.000	1.000
7	6	0.240	0.296	1.000
7	8	0.178	0.704	1.000
8	6	0.164	0.707	1.000
8	8	0.288	0.293	1.000
