#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.366	1.289	0.447	0.957	0.000	0.834
1	1.000	0.553	1.261	0.715	0.903	0.000	0.910
2	0.393	1.014	1.177	0.978	0.949	1.000	0.767
3	1.000	0.542	1.318	0.425	0.715	0.000	0.793
4	1.000	1.378	1.036	0.066	0.635	0.000	0.828
5	1.000	1.125	1.334	0.493	0.773	0.000	0.649
6	0.232	0.905	1.114	0.687	0.718	1.000	0.987
7	0.393	0.564	1.271	0.365	0.957	1.000	0.925
8	0.308	1.323	1.435	0.043	0.823	1.000	0.882
9	0.246	1.358	1.076	0.305	0.705	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	2	1.000	0.408	1.000
0	7	1.000	0.592	1.000
1	6	0.275	0.030	1.000
1	8	0.035	0.970	1.000
2	9	0.547	1.000	1.000
3	8	0.329	1.000	1.000
4	9	0.453	1.000	1.000
5	6	0.577	0.221	1.000
5	8	0.109	0.779	1.000
6	8	0.113	1.000	1.000
7	6	0.069	0.264	1.000
7	8	0.198	0.736	1.000
8	6	0.080	0.575	1.000
8	8	0.217	0.425	1.000
