#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.132	1.444	1.039	0.298	0.729	1.000	0.970
1	0.152	1.415	1.211	0.957	0.583	1.000	0.641
2	0.296	1.390	1.231	0.852	0.659	1.000	0.951
3	0.145	0.784	1.084	0.023	0.899	1.000	0.597
4	0.038	1.444	1.313	0.410	0.990	1.000	0.660
5	0.168	0.682	1.376	0.304	0.548	1.000	0.556
6	0.154	1.444	1.197	0.109	0.693	1.000	0.920
7	0.246	1.412	1.325	0.774	0.638	1.000	0.828
8	1.000	1.092	1.412	0.170	0.998	0.000	0.616
9	0.058	0.950	1.393	0.512	0.846	1.000	0.964
10	0.154	1.338	1.469	0.096	0.548	1.000	0.543
11	0.066	1.088	1.154	0.074	0.520	1.000	0.823
12	0.050	0.854	1.126	0.102	0.807	1.000	0.000
13	0.393	0.914	1.171	0.827	0.659	1.000	0.615
14	0.627	0.742	1.055	0.530	0.848	1.000	0.577
15	0.114	0.601	1.007	0.506	0.792	1.000	0.766
16	1.000	1.145	1.471	0.172	0.831	0.000	0.645
17	1.000	0.889	1.083	0.069	0.960	0.000	0.657
18	0.061	1.245	1.178	0.248	0.599	1.000	0.910
19	0.161	0.554	1.239	0.617	0.676	1.000	0.544
20	0.184	0.517	1.045	0.974	0.850	1.000	0.867
21	1.000	0.540	1.455	0.437	0.666	0.000	0.655
22	0.184	1.083	1.292	0.060	0.918	1.000	0.953
23	0.103	1.211	1.091	0.415	0.925	1.000	0.920
24	0.195	1.332	1.009	0.823	0.807	1.000	0.891
25	0.154	1.495	1.242	0.798	0.718	1.000	0.597
26	0.077	1.304	1.382	0.283	0.673	1.000	0.682
27	0.311	0.868	1.171	0.519	0.549	1.000	0.703
28	0.068	0.995	1.320	0.901	0.549	1.000	0.621
29	0.088	1.300	1.073	0.942	0.909	1.000	0.778
#From	To	chi[to]	beta[fr]	lambda
0	11	0.128	0.459	1.000
0	12	0.070	0.456	1.000
0	28	0.083	0.085	1.000
1	12	0.083	0.297	1.000
1	28	0.108	0.703	1.000
2	0	0.139	0.256	1.000
2	2	0.400	0.195	1.000
2	3	0.360	0.192	1.000
2	9	0.139	0.071	1.000
2	15	0.176	0.129	1.000
2	23	0.110	0.068	1.000
2	28	0.021	0.067	1.000
2	29	0.054	0.021	1.000
3	12	0.010	0.055	1.000
3	28	0.094	0.945	1.000
4	12	0.079	1.000	1.000
5	0	0.215	0.133	1.000
5	2	0.115	0.106	1.000
5	3	0.441	0.163	1.000
5	9	0.414	0.177	1.000
5	15	0.005	0.100	1.000
5	19	0.438	0.127	1.000
5	23	0.291	0.073	1.000
5	28	0.030	0.076	1.000
5	29	0.177	0.044	1.000
6	12	0.073	1.000	1.000
7	11	0.069	0.745	1.000
7	12	0.052	0.154	1.000
7	28	0.054	0.101	1.000
8	0	0.115	0.154	1.000
8	1	0.025	0.112	1.000
8	15	0.221	0.117	1.000
8	20	0.294	0.220	1.000
8	22	0.561	0.286	1.000
8	23	0.075	0.064	1.000
8	29	0.069	0.047	1.000
9	11	0.101	0.104	1.000
9	12	0.066	0.579	1.000
9	28	0.085	0.317	1.000
10	0	0.169	0.189	1.000
10	4	0.689	0.109	1.000
10	9	0.115	0.180	1.000
10	12	0.036	0.076	1.000
10	15	0.008	0.043	1.000
10	18	1.000	0.066	1.000
10	23	0.181	0.168	1.000
10	28	0.064	0.103	1.000
10	29	0.170	0.066	1.000
11	11	0.168	0.158	1.000
11	12	0.008	0.473	1.000
11	28	0.059	0.369	1.000
12	12	0.060	1.000	1.000
13	6	0.410	0.250	1.000
13	7	0.199	0.182	1.000
13	10	1.000	0.268	1.000
13	24	0.346	0.151	1.000
13	25	1.000	0.148	1.000
14	7	0.399	0.332	1.000
14	14	0.276	0.335	1.000
