#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.181	1.016	0.377	0.583	0.000	0.986
1	0.288	1.059	1.070	0.915	0.789	1.000	0.993
2	0.393	1.273	1.245	0.701	0.952	1.000	0.679
3	1.000	1.088	1.249	0.131	0.775	0.000	0.534
4	0.234	0.839	1.447	0.542	0.673	1.000	0.541
5	1.000	0.746	1.230	0.045	0.646	0.000	0.610
6	0.092	0.561	1.105	0.851	0.659	1.000	0.524
7	1.000	0.856	1.400	0.397	0.607	0.000	0.573
8	1.000	0.703	1.399	0.987	0.741	0.000	0.550
9	0.393	1.449	1.127	0.721	0.647	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	4	0.101	1.000	1.000
1	4	0.237	1.000	1.000
2	1	0.451	0.867	1.000
2	4	0.126	0.133	1.000
3	1	0.140	0.280	1.000
3	4	0.225	0.720	1.000
4	4	0.171	0.044	1.000
4	6	1.000	0.956	1.000
5	2	0.892	0.427	1.000
5	9	0.469	0.573	1.000
6	4	0.022	1.000	1.000
7	1	0.409	0.509	1.000
7	4	0.119	0.491	1.000
8	2	0.108	0.250	1.000
8	9	0.531	0.750	1.000
