#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.541	1.192	0.784	0.653	0.000	0.517
1	1.000	0.707	1.467	0.689	0.685	0.000	0.788
2	0.393	1.370	1.404	0.391	0.578	1.000	0.936
3	1.000	0.965	1.284	0.658	0.877	0.000	0.920
4	1.000	1.360	1.419	0.860	0.743	0.000	0.895
5	1.000	1.398	1.191	0.868	0.810	0.000	0.736
6	0.232	1.418	1.053	0.270	0.906	1.000	0.560
7	0.393	1.495	1.027	0.656	0.857	1.000	0.668
8	0.308	0.678	1.081	0.362	0.645	1.000	0.750
9	0.246	1.433	1.463	0.832	0.739	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	2	1.000	0.581	1.000
0	7	1.000	0.419	1.000
1	6	0.575	0.402	1.000
1	8	0.038	0.598	1.000
2	9	0.412	1.000	1.000
3	8	0.192	1.000	1.000
4	9	0.588	1.000	1.000
5	6	0.082	0.839	1.000
5	8	0.279	0.161	1.000
6	8	0.045	1.000	1.000
7	6	0.130	0.054	1.000
7	8	0.317	0.946	1.000
8	6	0.213	0.170	1.000
8	8	0.128	0.830	1.000
