#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	0.578	1.212	0.892	0.801	1.000	0.545
1	1.000	1.058	1.079	0.272	0.816	0.000	0.532
2	0.105	0.565	1.213	0.184	0.552	1.000	0.000
3	0.106	0.656	1.389	0.054	0.759	1.000	0.000
4	1.000	0.778	1.492	0.015	0.896	0.000	0.641
5	1.000	1.369	1.094	0.893	0.632	0.000	0.982
6	0.270	0.606	1.101	0.470	0.654	1.000	0.524
7	0.393	1.005	1.101	0.352	0.834	1.000	0.928
8	0.246	0.778	1.225	0.444	0.877	1.000	0.963
9	0.288	1.266	1.086	0.040	0.568	1.000	0.823
#From	To	chi[to]	beta[fr]	lambda
0	6	0.270	0.171	1.000
0	8	0.386	0.829	1.000
1	6	0.265	0.345	1.000
1	8	0.162	0.241	1.000
1	9	0.254	0.414	1.000
4	0	1.000	0.263	1.000
4	6	0.307	0.737	1.000
5	6	0.099	0.037	1.000
5	7	1.000	0.270	1.000
5	8	0.218	0.443	1.000
5	9	0.178	0.250	1.000
6	2	0.494	0.725	1.000
6	3	1.000	0.275	1.000
7	6	0.060	0.481	1.000
7	8	0.234	0.500	1.000
7	9	0.568	0.019	1.000
8	2	0.425	1.000	1.000
9	2	0.082	1.000	1.000
