#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.061	1.199	1.380	0.474	0.562	1.000	0.567
1	0.139	0.815	1.209	0.867	0.512	1.000	0.824
2	0.022	0.975	1.038	0.595	0.736	1.000	0.848
3	1.000	1.286	1.027	0.250	0.505	0.000	0.892
4	0.288	1.390	1.308	0.205	0.547	1.000	0.615
5	0.055	0.871	1.222	0.993	0.644	1.000	0.526
6	0.393	1.122	1.383	0.066	0.772	1.000	0.974
7	1.000	1.077	1.314	0.794	0.622	0.000	0.629
8	0.057	1.476	1.350	0.517	0.815	1.000	0.895
9	0.154	1.039	1.491	0.519	0.766	1.000	0.771
#From	To	chi[to]	beta[fr]	lambda
0	1	0.305	0.339	1.000
0	5	0.187	0.661	1.000
1	1	0.497	0.171	1.000
1	5	0.298	0.829	1.000
2	8	0.344	1.000	1.000
3	4	0.407	0.421	1.000
3	6	1.000	0.579	1.000
4	1	0.198	0.455	1.000
4	5	0.255	0.545	1.000
5	2	0.433	0.478	1.000
5	8	0.328	0.522	1.000
6	4	0.530	0.062	1.000
6	9	1.000	0.938	1.000
7	4	0.063	1.000	1.000
8	2	0.567	0.730	1.000
8	8	0.328	0.270	1.000
9	0	1.000	0.089	1.000
9	5	0.259	0.911	1.000
