#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	0.676	1.476	0.892	0.803	1.000	0.000
1	1.000	0.831	1.420	0.238	0.957	0.000	0.505
2	1.000	0.610	1.475	0.374	0.987	0.000	0.957
3	1.000	1.354	1.002	0.815	0.635	0.000	0.676
4	0.311	0.759	1.046	0.160	0.994	1.000	0.609
5	0.393	1.251	1.178	0.039	0.775	1.000	0.000
6	0.173	0.813	1.440	0.523	0.919	1.000	0.000
7	0.627	1.231	1.364	0.838	0.986	1.000	0.928
8	0.363	1.413	1.400	0.276	0.700	1.000	0.745
9	0.336	0.736	1.154	0.477	0.715	1.000	0.924
#From	To	chi[to]	beta[fr]	lambda
1	6	0.334	1.000	1.000
2	5	1.000	0.584	1.000
2	9	0.137	0.416	1.000
3	0	1.000	0.441	1.000
3	4	0.541	0.306	1.000
3	7	0.767	0.051	1.000
3	9	0.276	0.203	1.000
4	6	0.324	1.000	1.000
7	4	0.459	0.119	1.000
7	7	0.233	0.536	1.000
7	9	0.587	0.346	1.000
8	6	0.240	0.215	1.000
8	8	0.258	0.785	1.000
9	6	0.102	0.254	1.000
9	8	0.742	0.746	1.000
