#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.541	1.366	0.726	0.572	0.000	0.857
1	0.165	1.223	1.393	0.944	0.520	1.000	0.626
2	0.311	1.207	1.377	0.456	0.572	1.000	0.778
3	1.000	0.588	1.065	0.621	0.636	0.000	0.645
4	0.121	0.671	1.424	0.378	0.922	1.000	0.800
5	1.000	0.890	1.347	0.726	0.856	0.000	0.976
6	0.203	1.001	1.288	0.626	0.887	1.000	0.843
7	0.083	1.033	1.198	0.399	0.588	1.000	0.965
8	0.137	1.126	1.101	0.606	0.620	1.000	0.686
9	0.070	1.443	1.178	0.542	0.526	1.000	0.651
10	0.627	1.282	1.280	0.487	0.941	1.000	0.531
11	1.000	1.187	1.172	0.023	0.909	0.000	0.711
12	0.146	0.699	1.329	0.537	0.564	1.000	0.554
13	0.067	1.290	1.277	0.913	0.963	1.000	0.000
14	0.393	0.630	1.166	0.064	0.840	1.000	0.763
15	1.000	1.290	1.364	0.436	0.863	0.000	0.544
16	0.349	1.095	1.326	0.287	0.691	1.000	0.838
17	0.060	0.708	1.246	0.525	0.869	1.000	0.561
18	0.103	0.565	1.357	0.124	0.546	1.000	0.782
19	0.393	1.281	1.049	0.908	0.863	1.000	0.715
20	1.000	1.129	1.216	0.183	0.911	0.000	0.800
21	0.153	1.436	1.446	0.802	0.580	1.000	0.908
22	0.131	1.307	1.131	0.704	0.945	1.000	0.901
23	0.137	1.345	1.064	0.858	0.638	1.000	0.944
24	0.131	0.565	1.184	0.604	0.941	1.000	0.850
25	0.086	0.710	1.333	0.062	0.982	1.000	0.985
26	0.281	1.192	1.008	0.661	0.692	1.000	0.742
27	0.094	1.013	1.159	0.551	0.934	1.000	0.908
28	0.087	0.612	1.478	0.579	0.502	1.000	0.886
29	0.067	0.546	1.100	0.833	0.853	1.000	0.553
#From	To	chi[to]	beta[fr]	lambda
0	12	0.986	0.453	1.000
0	13	0.108	0.547	1.000
1	4	0.050	0.121	1.000
1	9	0.034	0.292	1.000
1	21	0.006	0.115	1.000
1	22	0.014	0.071	1.000
1	24	0.186	0.077	1.000
1	26	0.065	0.283	1.000
1	27	0.087	0.041	1.000
2	7	0.436	0.026	1.000
2	18	0.080	0.345	1.000
2	23	0.180	0.092	1.000
2	27	0.046	0.255	1.000
2	28	0.135	0.282	1.000
3	13	0.062	0.269	1.000
3	17	0.084	0.337	1.000
3	27	0.130	0.190	1.000
3	28	0.041	0.153	1.000
3	29	0.120	0.051	1.000
4	9	0.925	0.181	1.000
4	21	0.251	0.137	1.000
4	22	0.478	0.150	1.000
4	23	0.180	0.233	1.000
4	24	0.161	0.057	1.000
4	25	0.778	0.092	1.000
4	27	0.084	0.136	1.000
4	28	0.139	0.014	1.000
5	6	0.281	0.117	1.000
5	21	0.110	0.264	1.000
5	23	0.336	0.162	1.000
5	27	0.009	0.234	1.000
5	28	0.089	0.224	1.000
6	13	0.102	0.515	1.000
6	29	0.181	0.485	1.000
7	13	0.107	0.028	1.000
7	17	0.142	0.403	1.000
7	27	0.112	0.294	1.000
7	28	0.100	0.211	1.000
7	29	0.090	0.064	1.000
8	12	0.014	0.348	1.000
8	13	0.013	0.652	1.000
9	13	0.066	0.597	1.000
9	29	0.119	0.403	1.000
10	1	0.521	0.157	1.000
10	2	0.520	0.051	1.000
10	4	0.582	0.087	1.000
10	10	0.382	0.026	1.000
10	16	0.530	0.018	1.000
10	21	0.061	0.166	1.000
10	22	0.089	0.028	1.000
10	24	0.179	0.160	1.000
10	26	0.494	0.175	1.000
10	27	0.071	0.132	1.000
11	16	0.184	1.000	1.000
12	13	0.041	1.000	1.000
13	13	0.064	1.000	1.000
14	6	0.184	0.051	1.000
14	21	0.293	0.044	1.000
14	22	0.074	0.273	1.000
14	23	0.264	0.025	1.000
14	24	0.237	0.057	1.000
14	25	0.222	0.234	1.000
14	27	0.031	0.221	1.000
14	28	0.089	0.094	1.000
15	2	0.480	0.089	1.000
15	10	0.618	0.157	1.000
15	14	1.000	0.084	1.000
15	16	0.231	0.127	1.000
15	19	1.000	0.139	1.000
15	21	0.240	0.124	1.000
15	22	0.253	0.139	1.000
15	24	0.190	0.070	1.000
15	26	0.126	0.071	1.000
16	6	0.535	0.151	1.000
16	7	0.098	0.045	1.000
16	8	1.000	0.275	1.000
16	23	0.039	0.236	1.000
16	27	0.083	0.019	1.000
16	28	0.132	0.274	1.000
17	13	0.087	1.000	1.000
18	13	0.030	0.028	1.000
18	17	0.117	0.394	1.000
18	18	0.258	0.248	1.000
18	27	0.035	0.117	1.000
18	28	0.031	0.213	1.000
19	13	0.047	0.456	1.000
19	29	0.118	0.544	1.000
20	16	0.056	1.000	1.000
21	13	0.037	1.000	1.000
22	13	0.046	0.250	1.000
22	17	0.207	0.186	1.000
22	18	0.268	0.244	1.000
22	27	0.080	0.284	1.000
22	28	0.101	0.037	1.000
23	13	0.021	0.374	1.000
23	17	0.126	0.232	1.000
23	18	0.037	0.014	1.000
23	27	0.102	0.222	1.000
23	28	0.028	0.104	1.000
23	29	0.056	0.055	1.000
24	13	0.031	0.437	1.000
24	29	0.172	0.563	1.000
25	7	0.466	0.166	1.000
25	13	0.036	0.292	1.000
