#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.790	1.121	0.094	0.862	0.000	0.824
1	1.000	1.163	1.375	0.215	0.517	0.000	0.908
2	0.275	0.995	1.469	0.828	0.652	1.000	0.000
3	0.230	0.582	1.245	0.820	0.652	1.000	0.517
4	0.135	1.294	1.134	0.016	0.919	1.000	0.702
5	0.263	1.074	1.289	0.506	0.508	1.000	0.000
6	0.344	1.421	1.148	0.512	0.818	1.000	0.630
7	0.169	0.817	1.309	0.016	0.751	1.000	0.000
8	1.000	1.197	1.475	0.552	0.512	0.000	0.530
9	0.135	0.873	1.264	0.026	0.649	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	5	0.413	0.352	1.000
0	6	0.420	0.416	1.000
0	7	0.210	0.232	1.000
1	2	0.447	1.000	1.000
2	2	0.162	1.000	1.000
3	5	0.142	0.184	1.000
3	6	0.036	0.507	1.000
3	7	0.336	0.309	1.000
4	2	0.391	1.000	1.000
5	5	0.016	1.000	1.000
6	3	0.769	0.143	1.000
6	4	1.000	0.011	1.000
6	5	0.428	0.264	1.000
6	6	0.358	0.142	1.000
6	7	0.454	0.262	1.000
6	9	1.000	0.177	1.000
8	3	0.231	0.833	1.000
8	6	0.185	0.167	1.000
