#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.809	1.294	0.444	0.607	0.000	0.683
1	0.154	1.416	1.025	0.834	0.692	1.000	0.911
2	1.000	0.911	1.267	0.461	0.542	0.000	0.799
3	0.211	1.116	1.221	0.163	0.764	1.000	0.751
4	0.393	0.790	1.386	0.682	0.557	1.000	0.640
5	0.193	0.852	1.074	0.422	0.875	1.000	0.000
6	1.000	0.942	1.426	0.229	0.990	0.000	0.583
7	0.224	1.444	1.169	0.777	0.818	1.000	0.571
8	1.000	0.869	1.347	0.592	0.971	0.000	0.781
9	0.234	0.721	1.084	0.921	0.597	1.000	0.790
#From	To	chi[to]	beta[fr]	lambda
0	3	0.479	0.017	1.000
0	5	0.133	0.521	1.000
0	7	0.228	0.313	1.000
0	9	0.080	0.149	1.000
1	3	0.438	0.347	1.000
1	5	0.122	0.339	1.000
1	7	0.266	0.314	1.000
2	4	1.000	0.074	1.000
2	7	0.122	0.926	1.000
3	5	0.145	0.198	1.000
3	9	0.208	0.802	1.000
4	1	1.000	0.428	1.000
4	5	0.037	0.470	1.000
4	7	0.131	0.102	1.000
5	5	0.077	1.000	1.000
6	5	0.147	1.000	1.000
7	5	0.155	1.000	1.000
8	3	0.083	0.173	1.000
8	5	0.160	0.318	1.000
8	7	0.253	0.411	1.000
8	9	0.713	0.097	1.000
9	5	0.023	1.000	1.000
