#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.205	1.187	0.545	0.600	0.000	0.530
1	0.167	1.463	1.354	0.747	0.929	1.000	0.000
2	0.627	1.185	1.291	0.635	0.529	1.000	0.758
3	0.246	0.840	1.104	0.087	0.812	1.000	0.902
4	0.336	1.292	1.151	0.090	0.688	1.000	0.675
5	0.311	0.948	1.460	0.770	0.571	1.000	0.869
6	0.097	1.101	1.166	0.289	0.756	1.000	0.603
7	0.171	1.167	1.094	0.013	0.742	1.000	0.944
8	1.000	0.534	1.292	0.045	0.834	0.000	0.981
9	1.000	0.576	1.189	0.329	0.543	0.000	0.715
#From	To	chi[to]	beta[fr]	lambda
0	2	0.076	0.612	1.000
0	5	0.059	0.388	1.000
1	1	0.181	1.000	1.000
2	2	0.924	0.021	1.000
2	3	1.000	0.850	1.000
2	5	0.941	0.129	1.000
3	1	0.065	0.311	1.000
3	4	0.368	0.380	1.000
3	6	1.000	0.146	1.000
3	7	0.377	0.163	1.000
4	1	0.058	0.112	1.000
4	4	0.358	0.693	1.000
4	7	0.418	0.195	1.000
5	1	0.216	1.000	1.000
6	1	0.196	1.000	1.000
7	1	0.032	1.000	1.000
8	1	0.240	0.255	1.000
8	4	0.274	0.520	1.000
8	7	0.205	0.225	1.000
9	1	0.013	1.000	1.000
