#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.339	1.056	0.518	0.653	0.000	0.599
1	0.288	0.512	1.198	0.119	0.889	1.000	0.840
2	0.393	0.715	1.317	0.517	0.987	1.000	0.792
3	1.000	0.510	1.092	0.423	0.535	0.000	0.572
4	0.234	0.629	1.374	0.436	0.979	1.000	0.713
5	1.000	0.618	1.313	0.165	0.761	0.000	0.510
6	0.092	0.656	1.002	0.353	0.663	1.000	0.854
7	1.000	0.503	1.415	0.927	0.705	0.000	0.773
8	1.000	1.315	1.292	0.511	0.872	0.000	0.631
9	0.393	1.456	1.136	0.145	0.516	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	4	0.188	1.000	1.000
1	4	0.166	1.000	1.000
2	1	0.386	0.464	1.000
2	4	0.134	0.536	1.000
3	1	0.030	0.370	1.000
3	4	0.106	0.630	1.000
4	4	0.181	0.985	1.000
4	6	1.000	0.015	1.000
5	2	0.691	0.219	1.000
5	9	0.439	0.781	1.000
6	4	0.051	1.000	1.000
7	1	0.584	0.492	1.000
7	4	0.174	0.508	1.000
8	2	0.309	0.544	1.000
8	9	0.561	0.456	1.000
