#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	1.348	1.307	0.239	0.868	1.000	0.000
1	1.000	0.992	1.240	0.174	0.794	0.000	0.993
2	1.000	0.982	1.249	0.214	0.545	0.000	0.727
3	1.000	1.133	1.088	0.901	0.605	0.000	0.965
4	0.311	1.403	1.377	0.510	0.949	1.000	0.883
5	0.393	0.511	1.354	0.059	0.698	1.000	0.000
6	0.173	1.122	1.056	0.232	0.739	1.000	0.000
7	0.627	1.365	1.253	0.858	0.742	1.000	0.666
8	0.363	1.113	1.130	0.197	0.864	1.000	0.632
9	0.336	1.060	1.290	0.149	0.680	1.000	0.936
#From	To	chi[to]	beta[fr]	lambda
1	6	0.222	1.000	1.000
2	5	1.000	0.764	1.000
2	9	0.490	0.236	1.000
3	0	1.000	0.019	1.000
3	4	0.517	0.392	1.000
3	7	0.870	0.309	1.000
3	9	0.261	0.280	1.000
4	6	0.214	1.000	1.000
7	4	0.483	0.133	1.000
7	7	0.130	0.353	1.000
7	9	0.249	0.514	1.000
8	6	0.371	0.550	1.000
8	8	0.394	0.450	1.000
9	6	0.192	0.969	1.000
9	8	0.606	0.031	1.000
