#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.102	1.303	0.544	0.524	0.000	0.717
1	0.393	0.621	1.497	0.410	0.805	1.000	0.735
2	1.000	0.891	1.320	0.617	0.565	0.000	0.960
3	0.316	0.629	1.271	0.078	0.717	1.000	0.000
4	1.000	1.150	1.020	0.882	0.994	0.000	0.618
5	0.307	0.938	1.247	0.870	0.701	1.000	0.779
6	0.362	0.965	1.112	0.627	0.695	1.000	0.823
7	1.000	1.141	1.288	0.892	0.948	0.000	0.821
8	0.627	0.719	1.202	0.070	0.665	1.000	0.715
9	1.000	0.798	1.188	0.181	0.721	0.000	0.853
#From	To	chi[to]	beta[fr]	lambda
0	3	0.181	0.317	1.000
0	5	0.011	0.292	1.000
0	8	0.030	0.391	1.000
1	5	0.128	1.000	1.000
2	3	0.146	1.000	1.000
3	3	0.083	1.000	1.000
4	1	1.000	1.000	1.000
5	3	0.254	0.332	1.000
5	5	0.141	0.271	1.000
5	6	0.270	0.397	1.000
6	3	0.024	0.035	1.000
6	5	0.368	0.554	1.000
6	6	0.321	0.412	1.000
7	3	0.031	1.000	1.000
8	3	0.041	0.321	1.000
8	5	0.076	0.374	1.000
8	8	0.970	0.305	1.000
9	3	0.240	0.290	1.000
9	5	0.275	0.033	1.000
9	6	0.409	0.677	1.000
