#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.211	1.263	1.197	0.905	0.809	1.000	0.000
1	0.186	0.787	1.255	0.781	0.811	1.000	0.000
2	0.393	1.204	1.454	0.088	0.981	1.000	0.802
3	0.393	1.156	1.313	0.365	0.934	1.000	0.960
4	1.000	0.630	1.276	0.944	0.947	0.000	0.571
5	1.000	1.060	1.001	0.299	0.678	0.000	0.705
6	1.000	0.908	1.037	0.267	0.712	0.000	0.520
7	0.393	1.085	1.431	0.006	0.713	1.000	0.617
8	0.393	0.541	1.284	0.411	0.609	1.000	0.000
9	0.393	1.425	1.035	0.173	0.956	1.000	0.537
#From	To	chi[to]	beta[fr]	lambda
2	0	0.213	0.330	1.000
2	1	0.184	0.446	1.000
2	7	0.774	0.223	1.000
3	1	0.237	1.000	1.000
4	0	0.224	0.341	1.000
4	1	0.024	0.176	1.000
4	2	1.000	0.127	1.000
4	8	1.000	0.355	1.000
5	3	1.000	1.000	1.000
6	9	1.000	1.000	1.000
7	0	0.563	0.722	1.000
7	1	0.250	0.205	1.000
7	7	0.226	0.074	1.000
9	1	0.305	1.000	1.000
