#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	1.078	1.299	0.114	0.626	1.000	0.843
1	0.154	1.176	1.199	0.729	0.933	1.000	0.904
2	1.000	0.641	1.027	0.193	0.760	0.000	0.785
3	1.000	1.293	1.451	0.056	0.749	0.000	0.622
4	0.224	0.847	1.236	0.258	0.881	1.000	0.964
5	1.000	0.637	1.358	0.928	0.971	0.000	0.991
6	0.169	1.318	1.077	0.512	0.933	1.000	0.943
7	1.000	0.848	1.227	0.471	0.687	0.000	0.722
8	0.230	1.013	1.095	0.426	0.904	1.000	0.000
9	0.246	0.553	1.393	0.957	0.605	1.000	0.959
#From	To	chi[to]	beta[fr]	lambda
0	1	1.000	0.015	1.000
0	6	0.023	0.203	1.000
0	9	0.916	0.782	1.000
1	6	0.138	1.000	1.000
2	4	0.192	0.572	1.000
2	8	0.111	0.428	1.000
3	0	1.000	0.329	1.000
3	6	0.437	0.284	1.000
3	9	0.084	0.387	1.000
4	4	0.375	0.306	1.000
4	8	0.116	0.694	1.000
5	8	0.064	1.000	1.000
6	4	0.414	0.435	1.000
6	8	0.209	0.565	1.000
7	6	0.040	0.054	1.000
7	8	0.093	0.946	1.000
8	8	0.254	1.000	1.000
9	4	0.018	0.488	1.000
9	6	0.362	0.155	1.000
9	8	0.153	0.357	1.000
