#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.054	0.644	1.215	0.081	0.613	1.000	0.594
1	0.101	0.553	1.462	0.472	0.622	1.000	0.000
2	1.000	0.562	1.419	0.153	0.918	0.000	0.705
3	0.393	0.952	1.370	0.895	0.565	1.000	0.779
4	0.137	0.722	1.011	0.917	0.651	1.000	0.561
5	0.122	1.226	1.076	0.521	0.828	1.000	0.997
6	0.032	1.290	1.327	0.484	0.802	1.000	0.000
7	0.627	0.603	1.130	0.660	0.611	1.000	0.955
8	0.311	1.051	1.106	0.827	0.546	1.000	0.691
9	0.122	1.102	1.401	0.931	0.586	1.000	0.532
#From	To	chi[to]	beta[fr]	lambda
0	1	0.356	0.437	1.000
0	6	0.276	0.563	1.000
1	1	0.111	1.000	1.000
2	3	1.000	0.277	1.000
2	7	0.801	0.442	1.000
2	8	0.352	0.281	1.000
3	4	0.783	1.000	1.000
4	0	1.000	1.000	1.000
5	1	0.533	1.000	1.000
7	7	0.199	0.401	1.000
7	8	0.648	0.599	1.000
8	4	0.217	0.282	1.000
8	5	1.000	0.337	1.000
8	9	1.000	0.381	1.000
9	6	0.724	1.000	1.000
