#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.054	1.407	1.009	0.347	0.663	1.000	0.642
1	0.101	0.942	1.033	0.094	0.904	1.000	0.000
2	1.000	0.773	1.056	0.191	0.991	0.000	0.573
3	0.393	0.905	1.161	0.669	0.750	1.000	0.535
4	0.137	1.329	1.241	0.602	0.520	1.000	0.611
5	0.122	0.687	1.228	0.510	0.693	1.000	0.887
6	0.032	0.591	1.283	0.310	0.863	1.000	0.000
7	0.627	1.055	1.202	0.081	0.619	1.000	0.897
8	0.311	0.788	1.016	0.835	0.849	1.000	0.851
9	0.122	0.681	1.039	0.830	0.889	1.000	0.677
#From	To	chi[to]	beta[fr]	lambda
0	1	0.111	0.550	1.000
0	6	0.500	0.450	1.000
1	1	0.608	1.000	1.000
2	3	1.000	0.617	1.000
2	7	0.446	0.175	1.000
2	8	0.594	0.208	1.000
3	4	0.529	1.000	1.000
4	0	1.000	1.000	1.000
5	1	0.281	1.000	1.000
7	7	0.554	0.331	1.000
7	8	0.406	0.669	1.000
8	4	0.471	0.252	1.000
8	5	1.000	0.385	1.000
8	9	1.000	0.363	1.000
9	6	0.500	1.000	1.000
