#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.154	0.785	1.065	0.390	0.969	1.000	0.614
1	0.246	1.266	1.273	0.107	0.963	1.000	0.512
2	0.097	1.428	1.367	0.392	0.841	1.000	0.000
3	1.000	1.055	1.110	0.563	0.985	0.000	0.803
4	0.122	1.239	1.109	0.690	0.990	1.000	0.000
5	0.097	1.374	1.041	0.940	0.652	1.000	0.000
6	0.246	0.682	1.032	0.849	0.835	1.000	0.904
7	0.393	0.950	1.199	0.806	0.807	1.000	0.914
8	0.097	0.504	1.161	0.385	0.876	1.000	0.000
9	1.000	1.180	1.214	0.227	0.503	0.000	0.628
#From	To	chi[to]	beta[fr]	lambda
0	4	0.218	1.000	1.000
1	4	0.232	0.388	1.000
1	5	1.000	0.612	1.000
3	1	0.768	0.154	1.000
3	6	0.645	0.639	1.000
3	7	1.000	0.208	1.000
6	2	1.000	0.715	1.000
6	4	0.152	0.180	1.000
6	8	1.000	0.105	1.000
7	0	1.000	0.088	1.000
7	1	0.232	0.481	1.000
7	6	0.355	0.432	1.000
9	4	0.398	1.000	1.000
