#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.092	1.268	1.417	0.650	0.696	1.000	0.974
1	0.154	1.279	1.182	0.460	0.933	1.000	0.789
2	0.074	0.628	1.408	0.751	0.777	1.000	0.626
3	0.046	0.891	1.042	0.292	0.988	1.000	0.517
4	0.097	1.476	1.091	0.814	0.515	1.000	0.954
5	0.154	0.701	1.286	0.389	0.525	1.000	0.936
6	0.106	0.642	1.064	0.092	0.544	1.000	0.943
7	0.393	1.476	1.078	0.477	0.820	1.000	0.868
8	0.056	0.834	1.481	0.493	0.976	1.000	0.712
9	0.053	0.797	1.419	0.483	0.505	1.000	0.789
10	0.154	0.596	1.246	0.136	0.657	1.000	0.739
11	1.000	1.254	1.370	0.663	0.670	0.000	0.790
12	0.154	1.234	1.165	0.697	0.783	1.000	0.857
13	1.000	0.807	1.441	0.129	0.761	0.000	0.502
14	0.101	0.832	1.112	0.232	0.912	1.000	0.902
15	0.046	0.817	1.173	0.524	0.687	1.000	0.904
16	1.000	0.828	1.262	0.468	0.609	0.000	0.872
17	0.054	0.634	1.404	0.033	0.779	1.000	0.000
18	0.060	1.312	1.181	0.099	0.533	1.000	0.791
19	1.000	1.099	1.264	0.022	0.857	0.000	0.591
20	0.100	0.504	1.488	0.249	0.804	1.000	0.803
21	0.058	1.024	1.242	0.321	0.704	1.000	0.516
22	0.393	0.507	1.434	0.008	0.876	1.000	0.956
23	0.154	0.743	1.375	0.467	0.710	1.000	0.691
24	0.113	1.101	1.390	0.379	0.761	1.000	0.889
25	0.154	1.226	1.311	0.504	0.503	1.000	0.949
26	0.065	1.005	1.100	0.173	0.979	1.000	0.872
27	0.073	1.214	1.220	0.379	0.560	1.000	0.762
28	0.122	0.895	1.348	0.341	0.662	1.000	0.553
29	0.154	1.234	1.047	0.616	0.939	1.000	0.874
#From	To	chi[to]	beta[fr]	lambda
0	0	0.180	0.182	1.000
0	2	0.053	0.041	1.000
0	3	0.061	0.041	1.000
0	15	0.080	0.127	1.000
0	17	0.036	0.181	1.000
0	18	0.061	0.105	1.000
0	21	0.035	0.058	1.000
0	26	0.102	0.150	1.000
0	27	0.142	0.116	1.000
1	15	0.021	0.496	1.000
1	17	0.011	0.273	1.000
1	21	0.002	0.230	1.000
2	2	0.007	0.022	1.000
2	6	0.455	0.422	1.000
2	15	0.094	0.324	1.000
2	17	0.063	0.058	1.000
2	21	0.041	0.129	1.000
2	26	0.042	0.037	1.000
2	27	0.031	0.009	1.000
3	17	0.030	0.522	1.000
3	21	0.084	0.478	1.000
4	2	0.015	0.144	1.000
4	3	0.068	0.049	1.000
4	15	0.004	0.203	1.000
4	17	0.039	0.032	1.000
4	18	0.004	0.092	1.000
4	21	0.006	0.124	1.000
4	26	0.033	0.039	1.000
4	27	0.022	0.317	1.000
5	0	0.248	0.007	1.000
5	2	0.041	0.008	1.000
5	3	0.187	0.050	1.000
5	8	0.258	0.089	1.000
5	9	0.127	0.136	1.000
5	14	0.195	0.187	1.000
5	15	0.057	0.083	1.000
5	17	0.083	0.016	1.000
5	18	0.115	0.094	1.000
5	21	0.021	0.103	1.000
5	26	0.054	0.113	1.000
5	27	0.053	0.114	1.000
6	15	0.022	0.273	1.000
6	17	0.044	0.116	1.000
6	21	0.034	0.195	1.000
6	26	0.070	0.147	1.000
6	27	0.097	0.269	1.000
7	5	0.146	0.292	1.000
7	12	0.300	0.218	1.000
7	20	0.222	0.270	1.000
7	22	0.388	0.198	1.000
7	25	0.643	0.021	1.000
8	15	0.102	0.206	1.000
8	17	0.003	0.243	1.000
8	21	0.055	0.269	1.000
8	26	0.058	0.282	1.000
9	15	0.034	0.377	1.000
9	17	0.043	0.230	1.000
9	21	0.014	0.394	1.000
10	4	0.493	0.032	1.000
10	5	0.414	0.192	1.000
