#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.336	1.058	1.003	0.766	0.855	1.000	0.790
1	1.000	0.561	1.312	0.696	0.713	0.000	0.920
2	1.000	0.588	1.304	0.024	0.612	0.000	0.562
3	0.288	0.749	1.099	0.535	0.868	1.000	0.000
4	1.000	0.701	1.115	0.302	0.505	0.000	0.604
5	0.211	0.755	1.416	0.972	0.882	1.000	0.796
6	0.393	0.980	1.180	0.014	0.836	1.000	0.663
7	0.393	0.549	1.118	0.791	0.640	1.000	0.000
8	1.000	0.793	1.214	0.230	0.942	0.000	0.564
9	0.246	1.122	1.027	0.223	0.701	1.000	0.600
#From	To	chi[to]	beta[fr]	lambda
0	0	0.297	0.383	1.000
0	5	0.206	0.617	1.000
1	0	0.244	0.653	1.000
1	5	0.306	0.347	1.000
2	9	0.392	1.000	1.000
3	3	0.549	1.000	1.000
4	5	0.373	1.000	1.000
5	3	0.451	1.000	1.000
6	9	0.608	1.000	1.000
8	6	1.000	0.276	1.000
8	7	1.000	0.724	1.000
9	0	0.459	0.289	1.000
9	5	0.115	0.711	1.000
