#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.026	1.340	1.426	0.409	0.759	1.000	0.849
1	1.000	1.452	1.014	0.284	0.910	0.000	0.788
2	0.040	0.568	1.145	0.343	0.788	1.000	0.713
3	0.022	1.368	1.372	0.633	0.797	1.000	0.931
4	0.027	0.660	1.458	0.337	0.668	1.000	0.000
5	0.246	1.033	1.203	0.859	0.832	1.000	0.525
6	0.059	0.741	1.209	0.514	0.925	1.000	0.767
7	0.044	0.579	1.322	0.127	0.782	1.000	0.575
8	0.031	0.955	1.399	0.455	0.923	1.000	0.000
9	0.177	1.168	1.482	0.394	0.969	1.000	0.981
10	1.000	1.452	1.270	0.125	0.910	0.000	0.611
11	0.033	1.146	1.052	0.357	0.691	1.000	0.994
12	0.219	1.324	1.025	0.864	0.676	1.000	0.729
13	0.041	1.431	1.440	0.563	0.886	1.000	0.000
14	0.107	1.163	1.493	0.830	0.602	1.000	0.743
15	0.393	1.033	1.156	0.604	0.902	1.000	0.563
16	0.042	0.506	1.094	0.332	0.722	1.000	0.768
17	0.065	0.934	1.040	0.355	0.697	1.000	0.881
18	0.022	0.822	1.011	0.214	0.521	1.000	0.803
19	0.044	0.859	1.456	0.881	0.968	1.000	0.970
20	0.393	0.760	1.273	0.975	0.681	1.000	0.610
21	0.067	0.810	1.099	0.348	0.807	1.000	0.644
22	0.033	0.563	1.495	0.039	0.574	1.000	0.759
23	0.074	1.305	1.165	0.090	0.623	1.000	0.907
24	0.074	0.711	1.116	0.735	0.562	1.000	0.722
25	0.272	0.685	1.277	0.264	0.522	1.000	0.818
26	0.170	0.729	1.391	0.787	0.681	1.000	0.833
27	0.064	1.166	1.294	0.486	0.956	1.000	0.582
28	0.027	1.184	1.158	0.140	0.776	1.000	0.634
29	0.188	0.910	1.397	0.348	0.978	1.000	0.672
#From	To	chi[to]	beta[fr]	lambda
0	2	0.045	0.060	1.000
0	3	0.298	0.066	1.000
0	6	0.188	0.270	1.000
0	16	0.013	0.034	1.000
0	17	0.031	0.153	1.000
0	18	0.385	0.119	1.000
0	22	0.099	0.015	1.000
0	27	0.163	0.113	1.000
0	28	0.080	0.171	1.000
1	2	0.064	0.179	1.000
1	5	0.620	0.261	1.000
1	9	0.113	0.370	1.000
1	27	0.147	0.106	1.000
1	29	0.368	0.084	1.000
2	4	0.053	0.197	1.000
2	28	0.066	0.803	1.000
3	13	0.149	1.000	1.000
4	4	0.064	1.000	1.000
5	2	0.025	0.017	1.000
5	6	0.195	0.022	1.000
5	9	0.043	0.194	1.000
5	12	0.132	0.176	1.000
5	27	0.086	0.333	1.000
5	29	0.029	0.258	1.000
6	2	0.040	0.200	1.000
6	3	0.303	0.004	1.000
6	8	0.325	0.143	1.000
6	11	0.114	0.108	1.000
6	16	0.004	0.137	1.000
6	17	0.186	0.091	1.000
6	22	0.132	0.103	1.000
6	27	0.078	0.032	1.000
6	28	0.061	0.183	1.000
7	2	0.070	0.200	1.000
7	11	0.065	0.144	1.000
7	16	0.092	0.182	1.000
7	19	0.153	0.153	1.000
7	22	0.110	0.253	1.000
7	28	0.068	0.069	1.000
9	2	0.084	0.059	1.000
9	11	0.006	0.228	1.000
9	16	0.071	0.139	1.000
9	19	0.152	0.199	1.000
9	22	0.054	0.229	1.000
9	28	0.049	0.148	1.000
10	9	0.362	0.550	1.000
10	15	1.000	0.173	1.000
10	20	1.000	0.276	1.000
11	2	0.032	0.061	1.000
11	4	0.096	0.349	1.000
11	11	0.190	0.169	1.000
11	22	0.027	0.246	1.000
11	28	0.036	0.175	1.000
12	2	0.005	0.128	1.000
12	6	0.065	0.161	1.000
12	9	0.183	0.153	1.000
12	12	0.333	0.080	1.000
12	16	0.052	0.090	1.000
12	27	0.094	0.111	1.000
12	28	0.057	0.183	1.000
12	29	0.049	0.093	1.000
13	13	0.212	1.000	1.000
14	2	0.005	0.211	1.000
14	3	0.344	0.147	1.000
14	8	0.675	0.092	1.000
14	16	0.075	0.149	1.000
14	17	0.325	0.159	1.000
14	18	0.203	0.101	1.000
14	22	0.047	0.011	1.000
14	27	0.019	0.053	1.000
14	28	0.046	0.077	1.000
15	2	0.035	0.261	1.000
15	6	0.189	0.161	1.000
15	9	0.294	0.108	1.000
15	12	0.322	0.061	1.000
15	27	0.029	0.214	1.000
15	29	0.304	0.194	1.000
16	2	0.031	0.296	1.000
16	11	0.024	0.342	1.000
16	16	0.075	0.062	1.000
16	19	0.141	0.057	1.000
16	22	0.038	0.049	1.000
16	28	0.003	0.194	1.000
17	0	1.000	0.049	1.000
17	2	0.093	0.087	1.000
17	3	0.054	0.046	1.000
17	6	0.167	0.088	1.000
17	16	0.179	0.172	1.000
17	17	0.147	0.151	1.000
17	18	0.412	0.052	1.000
17	22	0.108	0.150	1.000
17	27	0.075	0.154	1.000
17	28	0.093	0.051	1.000
18	2	0.065	0.235	1.000
18	4	0.281	0.230	1.000
18	11	0.105	0.008	1.000
18	16	0.130	0.051	1.000
18	19	0.042	0.210	1.000
18	22	0.085	0.173	1.000
18	28	0.077	0.093	1.000
19	2	0.025	0.028	1.000
19	4	0.115	0.178	1.000
19	11	0.062	0.179	1.000
19	16	0.016	0.200	1.000
19	19	0.108	0.074	1.000
19	22	0.020	0.267	1.000
19	28	0.002	0.074	1.000
20	2	0.072	0.206	1.000
20	5	0.380	0.177	1.000
20	9	0.006	0.071	1.000
20	12	0.213	0.071	1.000
20	27	0.027	0.188	1.000
20	29	0.082	0.286	1.000
21	2	0.080	0.214	1.000
21	4	0.192	0.175	1.000
21	11	0.012	0.360	1.000
21	28	0.072	0.251	1.000
22	2	0.085	0.217	1.000
22	4	0.102	0.356	1.000
22	11	0.108	0.195	1.000
22	22	0.113	0.142	1.000
22	28	0.077	0.090	1.000
23	2	0.042	0.066	1.000
23	7	0.572	0.067	1.000
23	11	0.133	0.112	1.000
23	16	0.005	0.149	1.000
23	19	0.158	0.011	1.000
23	22	0.041	0.108	1.000
23	26	0.456	0.168	1.000
23	27	0.057	0.171	1.000
23	28	0.071	0.147	1.000
24	13	0.393	1.000	1.000
25	2	0.052	0.111	1.000
25	6	0.082	0.126	1.000
25	14	1.000	0.074	1.000
25	16	0.110	0.099	1.000
25	17	0.086	0.173	1.000
25	22	0.116	0.040	1.000
25	25	0.869	0.035	1.000
25	27	0.066	0.150	1.000
25	28	0.001	0.162	1.000
25	29	0.093	0.030	1.000
26	2	0.006	0.152	1.000
26	7	0.428	0.113	1.000
26	11	0.180	0.104	1.000
26	16	0.077	0.005	1.000
26	19	0.246	0.098	1.000
26	21	1.000	0.137	1.000
26	22	0.010	0.131	1.000
26	26	0.544	0.045	1.000
26	27	0.082	0.146	1.000
26	28	0.018	0.069	1.000
27	4	0.097	0.635	1.000
27	28	0.038	0.365	1.000
28	13	0.245	1.000	1.000
29	2	0.044	0.023	1.000
29	6	0.114	0.078	1.000
29	16	0.099	0.117	1.000
29	17	0.224	0.035	1.000
29	23	1.000	0.098	1.000
29	24	1.000	0.014	1.000
29	25	0.131	0.224	1.000
29	27	0.077	0.105	1.000
29	28	0.084	0.097	1.000
29	29	0.074	0.210	1.000
