#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.246	1.432	1.337	0.617	0.700	1.000	0.999
1	0.393	1.477	1.139	0.167	0.856	1.000	0.739
2	1.000	1.147	1.146	0.115	0.995	0.000	0.775
3	1.000	0.512	1.198	0.688	0.985	0.000	0.948
4	0.311	0.859	1.190	0.279	0.732	1.000	0.000
5	0.122	0.736	1.313	0.512	0.586	1.000	0.922
6	0.048	0.968	1.287	0.469	0.627	1.000	0.748
7	1.000	1.381	1.132	0.963	0.679	0.000	0.780
8	0.154	1.110	1.387	0.894	0.976	1.000	0.854
9	1.000	0.908	1.434	0.171	0.932	0.000	0.562
#From	To	chi[to]	beta[fr]	lambda
0	5	0.264	1.000	1.000
1	0	0.596	0.965	1.000
1	8	1.000	0.035	1.000
2	1	0.075	1.000	1.000
3	1	0.925	1.000	1.000
4	4	0.247	1.000	1.000
5	5	0.385	0.762	1.000
5	6	1.000	0.238	1.000
6	5	0.351	1.000	1.000
7	0	0.404	0.342	1.000
7	4	0.163	0.658	1.000
8	4	0.180	1.000	1.000
9	4	0.410	1.000	1.000
