#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.211	1.173	1.113	0.961	0.800	1.000	0.000
1	0.186	1.418	1.135	0.163	0.557	1.000	0.000
2	0.393	1.160	1.440	0.965	0.700	1.000	0.746
3	0.393	0.778	1.201	0.892	0.953	1.000	0.638
4	1.000	1.192	1.413	0.884	0.736	0.000	0.932
5	1.000	0.859	1.272	0.507	0.840	0.000	0.774
6	1.000	0.751	1.191	0.359	0.867	0.000	0.594
7	0.393	1.493	1.009	0.544	0.874	1.000	0.618
8	0.393	0.621	1.288	0.193	0.502	1.000	0.000
9	0.393	1.062	1.212	0.492	0.653	1.000	0.583
#From	To	chi[to]	beta[fr]	lambda
2	0	0.409	0.587	1.000
2	1	0.309	0.126	1.000
2	7	0.267	0.286	1.000
3	1	0.292	1.000	1.000
4	0	0.450	0.053	1.000
4	1	0.098	0.444	1.000
4	2	1.000	0.265	1.000
4	8	1.000	0.238	1.000
5	3	1.000	1.000	1.000
6	9	1.000	1.000	1.000
7	0	0.140	0.280	1.000
7	1	0.129	0.561	1.000
7	7	0.733	0.159	1.000
9	1	0.173	1.000	1.000
