#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.077	0.800	1.425	0.165	0.726	1.000	0.982
1	0.136	1.309	1.181	0.845	0.803	1.000	0.541
2	1.000	1.380	1.304	0.591	0.587	0.000	0.935
3	1.000	0.908	1.429	0.052	0.844	0.000	0.964
4	0.393	0.539	1.008	0.389	0.719	1.000	0.692
5	0.109	1.440	1.204	0.960	0.729	1.000	0.515
6	0.195	1.105	1.085	0.581	0.741	1.000	0.623
7	0.393	1.082	1.469	0.288	0.765	1.000	0.771
8	0.089	1.160	1.473	0.771	0.925	1.000	0.686
9	1.000	0.838	1.318	0.551	0.647	0.000	0.716
10	1.000	1.028	1.450	0.121	0.697	0.000	0.801
11	0.154	0.833	1.359	0.576	0.884	1.000	0.544
12	0.179	1.332	1.227	0.468	0.552	1.000	0.840
13	0.102	0.882	1.157	0.628	0.986	1.000	0.878
14	0.081	0.871	1.485	0.995	0.841	1.000	0.815
15	0.393	0.892	1.378	0.035	0.684	1.000	0.581
16	0.278	0.854	1.430	0.507	0.679	1.000	0.609
17	0.393	1.175	1.127	0.550	0.997	1.000	0.874
18	0.393	1.209	1.444	0.791	0.547	1.000	0.871
19	0.146	0.536	1.366	0.705	0.754	1.000	0.905
#From	To	chi[to]	beta[fr]	lambda
0	5	0.094	0.296	1.000
0	13	0.082	0.129	1.000
0	14	0.130	0.576	1.000
1	5	0.131	0.128	1.000
1	13	0.075	0.358	1.000
1	14	0.143	0.053	1.000
1	19	0.208	0.461	1.000
2	1	0.028	0.047	1.000
2	5	0.008	0.090	1.000
2	12	0.079	0.083	1.000
2	13	0.104	0.388	1.000
2	16	0.088	0.047	1.000
2	17	0.259	0.007	1.000
2	19	0.302	0.338	1.000
3	4	0.410	0.068	1.000
3	12	0.108	0.425	1.000
3	15	1.000	0.099	1.000
3	18	0.590	0.409	1.000
4	4	0.468	0.355	1.000
4	7	0.204	0.187	1.000
4	11	0.344	0.383	1.000
4	12	0.063	0.076	1.000
5	5	0.110	0.484	1.000
5	13	0.119	0.132	1.000
5	14	0.090	0.384	1.000
6	0	1.000	0.237	1.000
6	1	0.234	0.323	1.000
6	6	0.165	0.094	1.000
6	8	0.044	0.286	1.000
6	12	0.076	0.059	1.000
7	4	0.122	0.133	1.000
7	6	0.555	0.250	1.000
7	7	0.796	0.293	1.000
7	11	0.327	0.297	1.000
7	12	0.213	0.028	1.000
8	5	0.065	0.403	1.000
8	13	0.086	0.171	1.000
8	14	0.090	0.426	1.000
9	1	0.068	0.048	1.000
9	5	0.037	0.152	1.000
9	12	0.226	0.304	1.000
9	13	0.115	0.211	1.000
9	16	0.190	0.141	1.000
9	17	0.741	0.121	1.000
9	19	0.042	0.023	1.000
10	18	0.410	1.000	1.000
11	1	0.231	0.201	1.000
11	6	0.051	0.366	1.000
11	8	0.348	0.222	1.000
11	12	0.160	0.210	1.000
12	1	0.049	0.015	1.000
12	5	0.069	0.102	1.000
12	13	0.068	0.300	1.000
12	14	0.060	0.184	1.000
12	16	0.176	0.267	1.000
12	19	0.242	0.133	1.000
13	13	0.082	0.574	1.000
13	14	0.070	0.426	1.000
14	5	0.113	0.235	1.000
14	13	0.128	0.477	1.000
14	14	0.129	0.287	1.000
15	1	0.191	0.043	1.000
15	6	0.229	0.436	1.000
15	8	0.608	0.065	1.000
15	11	0.330	0.007	1.000
15	12	0.075	0.450	1.000
16	1	0.200	0.018	1.000
16	5	0.124	0.071	1.000
16	13	0.007	0.145	1.000
16	14	0.011	0.300	1.000
16	16	0.230	0.323	1.000
16	19	0.040	0.143	1.000
17	5	0.119	0.150	1.000
17	13	0.024	0.370	1.000
17	14	0.113	0.166	1.000
17	16	0.317	0.005	1.000
17	19	0.167	0.308	1.000
18	5	0.077	0.376	1.000
18	13	0.045	0.349	1.000
18	14	0.031	0.275	1.000
19	5	0.053	0.155	1.000
19	13	0.066	0.299	1.000
19	14	0.133	0.545	1.000
