#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.054	0.573	1.415	0.984	0.867	1.000	0.736
1	0.101	0.757	1.027	0.348	0.985	1.000	0.000
2	1.000	1.093	1.480	0.066	0.557	0.000	0.614
3	0.393	0.963	1.473	0.152	0.549	1.000	0.815
4	0.137	1.257	1.126	0.496	0.591	1.000	0.846
5	0.122	0.507	1.023	0.558	0.786	1.000	0.991
6	0.032	0.911	1.430	0.960	0.979	1.000	0.000
7	0.627	0.860	1.157	0.827	0.673	1.000	0.859
8	0.311	1.393	1.285	0.324	0.904	1.000	0.650
9	0.122	0.703	1.104	0.534	0.692	1.000	0.659
#From	To	chi[to]	beta[fr]	lambda
0	1	0.459	0.335	1.000
0	6	0.558	0.665	1.000
1	1	0.246	1.000	1.000
2	3	1.000	0.060	1.000
2	7	0.441	0.788	1.000
2	8	0.648	0.152	1.000
3	4	0.959	1.000	1.000
4	0	1.000	1.000	1.000
5	1	0.295	1.000	1.000
7	7	0.559	0.331	1.000
7	8	0.352	0.669	1.000
8	4	0.041	0.596	1.000
8	5	1.000	0.249	1.000
8	9	1.000	0.155	1.000
9	6	0.442	1.000	1.000
